run,repeat,mode,scenario,wind,linear_error_m,rotation_error_deg,engagement_s,csv_file
1,1,STATIC,STATIC,none,0.0518,0.05,9.27,static_static_none_141818.csv
2,2,STATIC,STATIC,none,0.0717,0.11,8.99,static_static_none_141917.csv
3,3,STATIC,STATIC,none,1.4149,0.08,9.85,static_static_none_142015.csv
4,4,STATIC,STATIC,none,0.0955,0.16,9.37,static_static_none_142113.csv
5,5,STATIC,STATIC,none,0.0642,0.15,9.93,static_static_none_142212.csv
6,6,STATIC,STATIC,none,0.0621,0.09,9.82,static_static_none_142310.csv
7,7,STATIC,STATIC,none,0.0905,0.06,14.74,static_static_none_142415.csv
8,8,STATIC,STATIC,none,0.0775,0.15,9.46,static_static_none_142512.csv
9,9,STATIC,STATIC,none,0.9866,0.08,9.61,static_static_none_142610.csv
10,10,STATIC,STATIC,none,0.1045,0.21,9.46,static_static_none_142709.csv
11,1,GIMBAL,STATIC,none,0.0222,0.01,15.23,gimbal_static_none_142812.csv
12,2,GIMBAL,STATIC,none,0.0444,0.01,13.25,gimbal_static_none_142914.csv
13,3,GIMBAL,STATIC,none,0.0266,0.01,14.58,gimbal_static_none_143019.csv
14,4,GIMBAL,STATIC,none,0.0183,0.04,13.72,gimbal_static_none_143122.csv
15,5,GIMBAL,STATIC,none,0.0221,0.11,12.66,gimbal_static_none_143224.csv
16,6,GIMBAL,STATIC,none,0.0202,0.09,13.15,gimbal_static_none_143323.csv
17,7,GIMBAL,STATIC,none,0.0072,0.14,12.73,gimbal_static_none_143426.csv
18,8,GIMBAL,STATIC,none,1.2206,0.03,8.32,gimbal_static_none_143525.csv
19,9,GIMBAL,STATIC,none,0.0252,0.02,13.81,gimbal_static_none_143629.csv
20,10,GIMBAL,STATIC,none,0.0413,0.05,14.21,gimbal_static_none_143732.csv
21,1,STATIC,DYNAMIC,none,0.9999,27.68,17.08,static_dynamic_none_143837.csv
22,2,STATIC,DYNAMIC,none,0.9822,5.43,18.11,static_dynamic_none_143942.csv
23,3,STATIC,DYNAMIC,none,1.2255,15.62,17.90,static_dynamic_none_144046.csv
24,4,STATIC,DYNAMIC,none,1.4348,0.83,18.28,static_dynamic_none_144150.csv
25,5,STATIC,DYNAMIC,none,4.4759,21.93,10.04,static_dynamic_none_144256.csv
26,6,STATIC,DYNAMIC,none,2.3118,17.77,18.96,static_dynamic_none_144407.csv
27,7,STATIC,DYNAMIC,none,4.2524,-0.47,9.62,static_dynamic_none_144505.csv
28,8,STATIC,DYNAMIC,none,2.0368,26.00,19.04,static_dynamic_none_144614.csv
29,9,STATIC,DYNAMIC,none,4.5653,17.66,10.80,static_dynamic_none_144712.csv
30,10,STATIC,DYNAMIC,none,7.3005,16.56,9.17,static_dynamic_none_144811.csv
31,1,GIMBAL,DYNAMIC,none,0.1972,5.32,18.15,gimbal_dynamic_none_144922.csv
32,2,GIMBAL,DYNAMIC,none,2.5911,12.78,11.63,gimbal_dynamic_none_145020.csv
33,3,GIMBAL,DYNAMIC,none,2.6102,1.17,14.45,gimbal_dynamic_none_145124.csv
34,4,GIMBAL,DYNAMIC,none,2.7637,11.29,12.12,gimbal_dynamic_none_145225.csv
35,5,GIMBAL,DYNAMIC,none,4.4579,12.15,11.31,gimbal_dynamic_none_145327.csv
36,6,GIMBAL,DYNAMIC,none,6.5227,10.27,15.98,gimbal_dynamic_none_145433.csv
37,7,GIMBAL,DYNAMIC,none,2.5685,17.51,13.22,gimbal_dynamic_none_145535.csv
38,8,GIMBAL,DYNAMIC,none,7.0779,23.35,9.28,gimbal_dynamic_none_145634.csv
39,9,GIMBAL,DYNAMIC,none,2.6922,1.05,14.98,gimbal_dynamic_none_145741.csv
40,10,GIMBAL,DYNAMIC,none,1.7029,5.72,16.65,gimbal_dynamic_none_145846.csv
