run,repeat,mode,scenario,wind,linear_error_m,rotation_error_deg,engagement_s,csv_file
1,1,STATIC,STATIC,mild,0.0966,0.08,8.34,static_static_mild_175457.csv
2,2,STATIC,STATIC,mild,0.1127,0.12,9.04,static_static_mild_175556.csv
3,3,STATIC,STATIC,mild,0.1510,0.06,8.82,static_static_mild_175654.csv
4,4,STATIC,STATIC,mild,0.0997,0.05,8.74,static_static_mild_175752.csv
5,5,STATIC,STATIC,mild,0.0756,0.14,9.06,static_static_mild_175851.csv
6,1,GIMBAL,STATIC,mild,0.0210,0.35,11.54,gimbal_static_mild_175952.csv
7,2,GIMBAL,STATIC,mild,0.0271,0.57,11.60,gimbal_static_mild_180051.csv
8,3,GIMBAL,STATIC,mild,0.0317,0.14,11.83,gimbal_static_mild_180149.csv
9,4,GIMBAL,STATIC,mild,0.0536,0.54,11.84,gimbal_static_mild_180248.csv
10,5,GIMBAL,STATIC,mild,0.0393,0.13,11.47,gimbal_static_mild_180345.csv
11,1,STATIC,DYNAMIC,mild,0.5056,6.58,14.53,static_dynamic_mild_180450.csv
12,2,STATIC,DYNAMIC,mild,0.5989,3.64,15.60,static_dynamic_mild_180555.csv
13,3,STATIC,DYNAMIC,mild,0.5314,28.08,14.37,static_dynamic_mild_180701.csv
14,4,STATIC,DYNAMIC,mild,0.9164,17.37,15.05,static_dynamic_mild_180805.csv
15,5,STATIC,DYNAMIC,mild,0.7401,10.68,14.04,static_dynamic_mild_180907.csv
16,1,GIMBAL,DYNAMIC,mild,0.1930,-0.11,15.63,gimbal_dynamic_mild_181012.csv
17,2,GIMBAL,DYNAMIC,mild,0.1927,7.46,12.99,gimbal_dynamic_mild_181112.csv
18,3,GIMBAL,DYNAMIC,mild,0.1975,7.48,16.03,gimbal_dynamic_mild_181219.csv
19,4,GIMBAL,DYNAMIC,mild,0.1761,2.13,14.01,gimbal_dynamic_mild_181320.csv
20,5,GIMBAL,DYNAMIC,mild,0.1981,3.69,14.20,gimbal_dynamic_mild_181423.csv
21,1,STATIC,DYNAMIC_EASY,mild,0.1230,18.71,44.02,static_dynamic_easy_mild_181552.csv
22,2,STATIC,DYNAMIC_EASY,mild,0.0414,22.75,43.16,static_dynamic_easy_mild_181722.csv
23,3,STATIC,DYNAMIC_EASY,mild,0.1179,5.27,43.32,static_dynamic_easy_mild_181850.csv
24,4,STATIC,DYNAMIC_EASY,mild,0.1028,27.35,44.68,static_dynamic_easy_mild_182017.csv
25,5,STATIC,DYNAMIC_EASY,mild,0.1149,0.72,42.43,static_dynamic_easy_mild_182144.csv
26,1,GIMBAL,DYNAMIC_EASY,mild,0.0585,7.91,46.77,gimbal_dynamic_easy_mild_182317.csv
27,2,GIMBAL,DYNAMIC_EASY,mild,0.0193,2.84,47.82,gimbal_dynamic_easy_mild_182448.csv
28,3,GIMBAL,DYNAMIC_EASY,mild,0.1130,1.15,45.23,gimbal_dynamic_easy_mild_182621.csv
29,4,GIMBAL,DYNAMIC_EASY,mild,0.0940,3.25,47.67,gimbal_dynamic_easy_mild_182758.csv
30,5,GIMBAL,DYNAMIC_EASY,mild,0.0559,-6.37,50.42,gimbal_dynamic_easy_mild_182930.csv
