time_ms,mode,scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
60,static,dynamic,0.8215,1.77,0.06,-0.0640,-0.2610,0.7569,-0.2943,1.997,SEARCH,0.0000,0.0000,0.0000,-0.0010
160,static,dynamic,0.8621,2.37,0.16,-0.0648,-0.2634,0.7969,-0.2928,1.997,SEARCH,0.0000,0.0000,0.0000,-0.0010
260,static,dynamic,0.9027,2.97,0.26,-0.0655,-0.2658,0.8368,-0.2909,1.996,SEARCH,0.0000,0.0000,0.0000,-0.0011
360,static,dynamic,0.9436,3.55,0.36,-0.0666,-0.2679,0.8768,-0.2886,1.996,SEARCH,0.0000,0.0000,0.0000,-0.0011
460,static,dynamic,0.9856,4.12,0.46,-0.0687,-0.2703,0.9168,-0.2858,1.996,SEARCH,0.0000,0.0000,0.0000,-0.0011
560,static,dynamic,1.0281,4.68,0.56,-0.0714,-0.2730,0.9567,-0.2827,1.996,SEARCH,0.0000,0.0000,0.0000,-0.0011
660,static,dynamic,1.0705,5.22,0.66,-0.0738,-0.2758,0.9966,-0.2792,1.996,SEARCH,0.0000,0.0000,0.0000,-0.0011
760,static,dynamic,1.1125,5.75,0.76,-0.0759,-0.2779,1.0365,-0.2753,1.997,SEARCH,0.0000,0.0000,0.0000,-0.0010
860,static,dynamic,1.1541,6.26,0.86,-0.0777,-0.2790,1.0764,-0.2710,1.997,SEARCH,0.0000,0.0000,0.0000,-0.0010
960,static,dynamic,1.1951,6.75,0.96,-0.0788,-0.2791,1.1162,-0.2664,1.997,SEARCH,0.0000,0.0000,0.0000,-0.0010
1060,static,dynamic,1.2358,7.23,1.06,-0.0797,-0.2787,1.1560,-0.2615,1.997,SEARCH,0.0000,0.0000,0.0000,-0.0009
1160,static,dynamic,1.2756,7.69,1.16,-0.0796,-0.2780,1.1958,-0.2562,1.997,SEARCH,0.0000,0.0000,0.0000,-0.0009
1260,static,dynamic,1.3144,8.13,1.26,-0.0787,-0.2773,1.2355,-0.2506,1.997,SEARCH,0.0000,0.0000,0.0000,-0.0008
1360,static,dynamic,1.3525,8.56,1.36,-0.0771,-0.2764,1.2751,-0.2448,1.998,SEARCH,0.0000,0.0000,0.0000,-0.0007
1460,static,dynamic,1.3899,8.96,1.46,-0.0747,-0.2751,1.3147,-0.2386,1.998,SEARCH,0.0000,0.0000,0.0000,-0.0007
1560,static,dynamic,1.4271,9.35,1.56,-0.0723,-0.2738,1.3542,-0.2322,1.998,SEARCH,0.0000,0.0000,0.0000,-0.0007
1660,static,dynamic,1.4644,9.72,1.66,-0.0699,-0.2726,1.3937,-0.2255,1.998,SEARCH,0.0000,0.0000,0.0000,-0.0007
1760,static,dynamic,1.5026,10.06,1.76,-0.0686,-0.2713,1.4331,-0.2186,1.998,SEARCH,0.0000,0.0000,0.0000,-0.0007
1860,static,dynamic,1.5418,10.38,1.86,-0.0682,-0.2699,1.4724,-0.2114,1.998,SEARCH,0.0000,0.0000,0.0000,-0.0007
1960,static,dynamic,1.5819,10.68,1.96,-0.0689,-0.2687,1.5117,-0.2041,1.998,SEARCH,0.0000,0.0000,0.0000,-0.0006
2060,static,dynamic,1.6224,10.96,2.06,-0.0700,-0.2684,1.5509,-0.1966,1.998,SEARCH,0.0000,0.0000,0.0000,-0.0006
2160,static,dynamic,1.6632,11.22,2.16,-0.0714,-0.2683,1.5900,-0.1889,1.998,SEARCH,0.0000,0.0000,0.0000,-0.0006
2260,static,dynamic,1.7031,11.46,2.26,-0.0719,-0.2680,1.6290,-0.1810,1.998,SEARCH,0.0000,0.0000,0.0000,-0.0006
2360,static,dynamic,1.7422,11.67,2.36,-0.0717,-0.2677,1.6679,-0.1730,1.998,SEARCH,0.0000,0.0000,0.0000,-0.0005
2461,static,dynamic,1.7806,11.85,2.46,-0.0709,-0.2671,1.7068,-0.1649,1.999,SEARCH,0.0000,0.0000,0.0000,-0.0004
2560,static,dynamic,1.8186,12.02,2.56,-0.0698,-0.2660,1.7455,-0.1567,1.999,SEARCH,0.0000,0.0000,0.0000,-0.0004
2660,static,dynamic,1.8570,12.15,2.66,-0.0692,-0.2644,1.7842,-0.1484,1.999,SEARCH,0.0000,0.0000,0.0000,-0.0004
2760,static,dynamic,1.8963,12.27,2.76,-0.0696,-0.2630,1.8227,-0.1401,1.999,SEARCH,0.0000,0.0000,0.0000,-0.0004
2860,static,dynamic,1.9365,12.36,2.86,-0.0710,-0.2618,1.8611,-0.1317,1.999,SEARCH,0.0000,0.0000,0.0000,-0.0004
2960,static,dynamic,1.9772,12.43,2.96,-0.0729,-0.2610,1.8995,-0.1232,1.998,SEARCH,0.0000,0.0000,0.0000,-0.0005
3060,static,dynamic,2.0186,12.47,3.06,-0.0756,-0.2606,1.9377,-0.1148,1.998,SEARCH,0.0000,0.0000,0.0000,-0.0005
3160,static,dynamic,2.0602,12.49,3.16,-0.0785,-0.2614,1.9758,-0.1064,1.998,SEARCH,0.0000,0.0000,0.0000,-0.0006
3260,static,dynamic,2.1029,12.48,3.26,-0.0827,-0.2633,2.0138,-0.0979,1.998,SEARCH,0.0000,0.0000,0.0000,-0.0006
3360,static,dynamic,2.1459,12.45,3.36,-0.0870,-0.2654,2.0516,-0.0896,1.998,SEARCH,0.0000,0.0000,0.0000,-0.0007
3461,static,dynamic,2.1893,12.39,3.46,-0.0920,-0.2678,2.0894,-0.0813,1.998,STABILIZE_HIGH,0.1209,0.1612,0.4924,-0.0007
3560,static,dynamic,2.2322,12.30,3.56,-0.0965,-0.2700,2.1270,-0.0731,1.998,STABILIZE_HIGH,0.1595,0.1727,0.5108,-0.0007
3660,static,dynamic,2.2747,12.13,3.66,-0.1009,-0.2709,2.1644,-0.0649,1.998,HOLD,0.1575,0.1705,0.5044,0.0000
3761,static,dynamic,2.3151,11.86,3.76,-0.1035,-0.2692,2.2018,-0.0569,1.998,STABILIZE_HIGH,0.2662,0.2078,0.4628,-0.0006
3860,static,dynamic,2.3518,11.45,3.86,-0.1030,-0.2636,2.2390,-0.0490,1.998,STABILIZE_HIGH,0.3100,0.2101,0.4740,-0.0006
3960,static,dynamic,2.3840,10.90,3.96,-0.0984,-0.2551,2.2760,-0.0413,1.998,STABILIZE_HIGH,0.3588,0.2021,0.4128,-0.0006
4060,static,dynamic,2.4109,10.19,4.06,-0.0889,-0.2424,2.3130,-0.0337,1.998,STABILIZE_HIGH,0.4037,0.1901,0.4352,-0.0006
4160,static,dynamic,2.4341,9.31,4.16,-0.0760,-0.2282,2.3497,-0.0263,1.998,STABILIZE_HIGH,0.4055,0.1871,0.4352,-0.0007
4260,static,dynamic,2.4514,8.29,4.26,-0.0575,-0.2109,2.3864,-0.0191,1.997,STABILIZE_HIGH,0.4588,0.1238,0.3156,-0.0009
4360,static,dynamic,2.4661,7.16,4.36,-0.0366,-0.1938,2.4228,-0.0120,1.996,DESCEND_TO_LOW,0.4771,0.0739,0.2868,0.5000
4460,static,dynamic,2.4754,5.94,4.46,-0.0104,-0.1750,2.4592,-0.0052,1.986,DESCEND_TO_LOW,0.4931,0.0236,0.2340,0.5000
4560,static,dynamic,2.4838,4.70,4.56,0.0167,-0.1585,2.4953,0.0013,1.952,HOLD,0.4869,0.0233,0.2311,-0.0054
4660,static,dynamic,2.4852,3.49,4.66,0.0506,-0.1426,2.5313,0.0077,1.919,DESCEND_TO_LOW,0.5550,-0.0888,0.1464,0.5000
4760,static,dynamic,2.4856,2.35,4.76,0.0857,-0.1299,2.5672,0.0137,1.892,HOLD,0.5481,-0.0877,0.1446,-0.0055
4860,static,dynamic,2.4794,1.33,4.86,0.1274,-0.1191,2.6029,0.0195,1.866,DESCEND_TO_LOW,0.5938,-0.1791,0.0528,0.5000
4960,static,dynamic,2.4735,0.44,4.96,0.1687,-0.1122,2.6384,0.0251,1.843,HOLD,0.5864,-0.1769,0.0521,-0.0042
5060,static,dynamic,2.4608,-0.33,5.06,0.2169,-0.1086,2.6737,0.0303,1.817,HOLD,0.5716,-0.1724,0.0508,-0.0119
