run,repeat,mode,scenario,linear_error_m,rotation_error_deg,engagement_s,csv_file
1,1,STATIC,DYNAMIC,0.3177,-20.98,12.39,static_dynamic_095035.csv
2,2,STATIC,DYNAMIC,0.3972,24.09,18.32,static_dynamic_095151.csv
3,3,STATIC,DYNAMIC,0.8515,-24.66,13.18,static_dynamic_095337.csv
4,4,STATIC,DYNAMIC,0.4263,9.14,16.84,static_dynamic_095535.csv
5,5,STATIC,DYNAMIC,0.0891,1.10,16.05,static_dynamic_095758.csv
6,6,STATIC,DYNAMIC,0.3757,5.34,13.29,static_dynamic_095921.csv
7,7,STATIC,DYNAMIC,1.0081,23.81,14.53,static_dynamic_100232.csv
8,8,STATIC,DYNAMIC,0.5006,13.35,15.86,static_dynamic_100431.csv
9,9,STATIC,DYNAMIC,0.4381,14.02,15.47,static_dynamic_100632.csv
10,10,STATIC,DYNAMIC,0.3817,2.91,19.60,static_dynamic_100808.csv
11,1,GIMBAL,DYNAMIC,0.2956,0.07,13.23,gimbal_dynamic_100946.csv
12,2,GIMBAL,DYNAMIC,0.2704,-3.76,21.37,gimbal_dynamic_101119.csv
13,3,GIMBAL,DYNAMIC,0.1485,2.91,25.54,gimbal_dynamic_101305.csv
14,4,GIMBAL,DYNAMIC,0.1489,13.74,14.86,gimbal_dynamic_101442.csv
15,5,GIMBAL,DYNAMIC,0.1631,0.84,13.27,gimbal_dynamic_101608.csv
16,6,GIMBAL,DYNAMIC,0.2568,1.68,17.19,gimbal_dynamic_101810.csv
17,7,GIMBAL,DYNAMIC,0.1799,16.46,14.44,gimbal_dynamic_101950.csv
18,8,GIMBAL,DYNAMIC,0.2885,4.57,17.06,gimbal_dynamic_102140.csv
19,9,GIMBAL,DYNAMIC,0.1663,0.04,19.42,gimbal_dynamic_102334.csv
20,10,GIMBAL,DYNAMIC,0.2917,10.36,15.61,gimbal_dynamic_102524.csv
