run,repeat,mode,scenario,wind,linear_error_m,rotation_error_deg,engagement_s,csv_file
1,1,STATIC,STATIC,none,0.0980,0.17,9.50,static_static_none_163817.csv
2,2,STATIC,STATIC,none,0.0932,0.06,9.27,static_static_none_163915.csv
3,3,STATIC,STATIC,none,0.1095,0.11,8.81,static_static_none_164014.csv
4,4,STATIC,STATIC,none,0.0751,0.04,8.57,static_static_none_164112.csv
5,5,STATIC,STATIC,none,0.0877,0.06,8.44,static_static_none_164210.csv
6,6,STATIC,STATIC,none,0.0503,0.05,8.56,static_static_none_164308.csv
7,7,STATIC,STATIC,none,0.0669,0.02,8.59,static_static_none_164407.csv
8,8,STATIC,STATIC,none,0.0981,0.04,9.10,static_static_none_164506.csv
9,9,STATIC,STATIC,none,0.0774,0.11,8.71,static_static_none_164603.csv
10,10,STATIC,STATIC,none,0.0533,0.15,8.48,static_static_none_164702.csv
11,1,GIMBAL,STATIC,none,0.0647,0.01,10.85,gimbal_static_none_164802.csv
12,2,GIMBAL,STATIC,none,0.0283,0.03,12.25,gimbal_static_none_164902.csv
13,3,GIMBAL,STATIC,none,0.0306,0.10,12.04,gimbal_static_none_165000.csv
14,4,GIMBAL,STATIC,none,0.0307,0.31,11.88,gimbal_static_none_165059.csv
15,5,GIMBAL,STATIC,none,0.0233,0.26,11.41,gimbal_static_none_165157.csv
16,6,GIMBAL,STATIC,none,0.0141,0.30,11.19,gimbal_static_none_165255.csv
17,7,GIMBAL,STATIC,none,0.0128,0.28,11.63,gimbal_static_none_165353.csv
18,8,GIMBAL,STATIC,none,0.0096,0.13,11.80,gimbal_static_none_165452.csv
19,9,GIMBAL,STATIC,none,0.0391,0.15,11.65,gimbal_static_none_165550.csv
20,10,GIMBAL,STATIC,none,0.0380,0.25,11.85,gimbal_static_none_165649.csv
21,1,STATIC,DYNAMIC,none,0.7987,-5.07,13.27,static_dynamic_none_165751.csv
22,2,STATIC,DYNAMIC,none,0.9891,17.88,14.96,static_dynamic_none_165857.csv
23,3,STATIC,DYNAMIC,none,0.6513,8.67,13.52,static_dynamic_none_165959.csv
24,4,STATIC,DYNAMIC,none,0.8763,6.90,14.93,static_dynamic_none_170103.csv
25,5,STATIC,DYNAMIC,none,0.9547,-2.83,13.62,static_dynamic_none_170205.csv
26,6,STATIC,DYNAMIC,none,0.9589,27.75,15.17,static_dynamic_none_170310.csv
27,7,STATIC,DYNAMIC,none,0.3884,25.81,13.87,static_dynamic_none_170412.csv
28,8,STATIC,DYNAMIC,none,0.5751,5.25,13.42,static_dynamic_none_170514.csv
29,9,STATIC,DYNAMIC,none,0.7188,8.17,14.47,static_dynamic_none_170619.csv
30,10,STATIC,DYNAMIC,none,1.1178,27.99,14.66,static_dynamic_none_170722.csv
31,1,GIMBAL,DYNAMIC,none,0.1757,3.66,13.37,gimbal_dynamic_none_170824.csv
32,2,GIMBAL,DYNAMIC,none,0.1695,0.66,15.09,gimbal_dynamic_none_170929.csv
