time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state
100,static,dynamic,none,1.7817,0.23,0.10,-0.0136,-0.0099,1.4491,1.0073,4.827,SEARCH
200,static,dynamic,none,1.8189,2.34,0.20,-0.0125,-0.0107,1.4958,1.0060,4.830,SEARCH
300,static,dynamic,none,1.8565,-4.43,0.30,-0.0118,-0.0120,1.5427,1.0030,4.833,SEARCH
400,static,dynamic,none,1.8942,-6.47,0.40,-0.0118,-0.0132,1.5898,0.9982,4.835,SEARCH
500,static,dynamic,none,1.9326,-8.46,0.50,-0.0128,-0.0145,1.6372,0.9917,4.838,SEARCH
600,static,dynamic,none,1.9714,-10.41,0.60,-0.0145,-0.0161,1.6848,0.9834,4.841,SEARCH
700,static,dynamic,none,2.0103,-12.29,0.70,-0.0162,-0.0179,1.7326,0.9735,4.843,SEARCH
800,static,dynamic,none,2.0480,-14.11,0.80,-0.0169,-0.0196,1.7806,0.9620,4.846,SEARCH
901,static,dynamic,none,2.0854,-15.86,0.90,-0.0172,-0.0214,1.8288,0.9488,4.849,SEARCH
1000,static,dynamic,none,2.1232,-17.54,1.00,-0.0181,-0.0231,1.8772,0.9340,4.851,SEARCH
1100,static,dynamic,none,2.1611,-19.15,1.10,-0.0194,-0.0240,1.9257,0.9176,4.854,SEARCH
1200,static,dynamic,none,2.1987,-20.68,1.20,-0.0207,-0.0242,1.9744,0.8997,4.856,SEARCH
1300,static,dynamic,none,2.2358,22.14,1.30,-0.0218,-0.0233,2.0233,0.8803,4.859,SEARCH
1400,static,dynamic,none,2.2728,23.51,1.40,-0.0226,-0.0220,2.0723,0.8595,4.861,STABILIZE_5M
1500,static,dynamic,none,2.3105,24.81,1.50,-0.0243,-0.0197,2.1214,0.8372,4.865,DESCEND_TO_1M
1600,static,dynamic,none,2.3510,-26.03,1.60,-0.0297,-0.0143,2.1707,0.8136,4.862,DESCEND_TO_1M
1700,static,dynamic,none,2.3973,-26.47,1.70,-0.0424,-0.0036,2.2201,0.7889,4.825,DESCEND_TO_1M
1800,static,dynamic,none,2.4517,-26.23,1.80,-0.0639,0.0120,2.2696,0.7642,4.776,DESCEND_TO_1M
1900,static,dynamic,none,2.5194,-25.87,1.90,-0.1001,0.0362,2.3192,0.7394,4.718,DESCEND_TO_1M
2000,static,dynamic,none,2.5967,-25.27,2.00,-0.1453,0.0647,2.3688,0.7145,4.661,DESCEND_TO_1M
2100,static,dynamic,none,2.6848,-24.52,2.10,-0.2002,0.0981,2.4186,0.6897,4.600,DESCEND_TO_1M
2200,static,dynamic,none,2.7875,-23.50,2.20,-0.2690,0.1386,2.4684,0.6648,4.542,DESCEND_TO_1M
2300,static,dynamic,none,2.9006,-22.42,2.30,-0.3461,0.1827,2.5182,0.6398,4.481,DESCEND_TO_1M
2400,static,dynamic,none,3.0163,-21.18,2.40,-0.4228,0.2254,2.5682,0.6149,4.425,DESCEND_TO_1M
2500,static,dynamic,none,3.1443,-19.99,2.50,-0.5101,0.2728,2.6181,0.5899,4.365,DESCEND_TO_1M
2600,static,dynamic,none,3.2703,-18.86,2.60,-0.5928,0.3172,2.6681,0.5649,4.311,DESCEND_TO_1M
2700,static,dynamic,none,3.4054,-17.84,2.70,-0.6828,0.3659,2.7181,0.5399,4.253,DESCEND_TO_1M
2800,static,dynamic,none,3.5351,-16.87,2.80,-0.7655,0.4111,2.7681,0.5149,4.201,DESCEND_TO_1M
2900,static,dynamic,none,3.6729,-16.12,2.90,-0.8547,0.4608,2.8181,0.4899,4.144,DESCEND_TO_1M
3000,static,dynamic,none,3.8053,-15.59,3.00,-0.9370,0.5067,2.8681,0.4649,4.092,DESCEND_TO_1M
3100,static,dynamic,none,3.9459,-15.30,3.10,-1.0262,0.5562,2.9180,0.4399,4.037,DESCEND_TO_1M
3200,static,dynamic,none,4.0793,-15.18,3.20,-1.1071,0.6016,2.9679,0.4150,3.987,DESCEND_TO_1M
3300,static,dynamic,none,4.2146,-15.19,3.30,-1.1887,0.6500,3.0178,0.3900,3.936,DESCEND_TO_1M
3400,static,dynamic,none,4.3350,-15.24,3.40,-1.2549,0.6934,3.0677,0.3651,3.891,DESCEND_TO_1M
3500,static,dynamic,none,4.4487,-15.22,3.50,-1.3135,0.7375,3.1174,0.3403,3.844,DESCEND_TO_1M
3600,static,dynamic,none,4.5444,-15.11,3.60,-1.3540,0.7747,3.1671,0.3154,3.797,DESCEND_TO_1M
3700,static,dynamic,none,4.6288,-14.94,3.70,-1.3828,0.8107,3.2167,0.2906,3.754,DESCEND_TO_1M
3800,static,dynamic,none,4.6973,-14.75,3.80,-1.3959,0.8394,3.2662,0.2658,3.705,DESCEND_TO_1M
3900,static,dynamic,none,4.7541,-14.55,3.90,-1.3974,0.8647,3.3156,0.2411,3.658,DESCEND_TO_1M
4000,static,dynamic,none,4.7985,-14.28,4.00,-1.3872,0.8819,3.3649,0.2165,3.606,DESCEND_TO_1M
4100,static,dynamic,none,4.8301,-13.98,4.10,-1.3646,0.8943,3.4141,0.1919,3.556,DESCEND_TO_1M
4200,static,dynamic,none,4.8532,-13.64,4.20,-1.3342,0.9010,3.4632,0.1674,3.505,DESCEND_TO_1M
4300,static,dynamic,none,4.8635,-13.32,4.30,-1.2917,0.9028,3.5121,0.1429,3.448,DESCEND_TO_1M
4400,static,dynamic,none,4.8691,-12.96,4.40,-1.2452,0.8999,3.5608,0.1186,3.396,DESCEND_TO_1M
4500,static,dynamic,none,4.8689,-12.56,4.50,-1.1935,0.8931,3.6094,0.0943,3.339,DESCEND_TO_1M
4600,static,dynamic,none,4.8588,-12.13,4.60,-1.1327,0.8819,3.6578,0.0700,3.287,DESCEND_TO_1M
4700,static,dynamic,none,4.8501,-11.73,4.70,-1.0736,0.8691,3.7061,0.0459,3.230,DESCEND_TO_1M
