time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state
100,gimbal,dynamic,none,1.5595,25.96,0.10,0.0436,0.0384,1.5308,0.5075,4.656,SEARCH
200,gimbal,dynamic,none,1.6142,25.46,0.20,0.0442,0.0379,1.5808,0.5325,4.659,SEARCH
300,gimbal,dynamic,none,1.6693,25.22,0.30,0.0450,0.0359,1.6307,0.5574,4.663,SEARCH
400,gimbal,dynamic,none,1.7246,25.15,0.40,0.0458,0.0331,1.6806,0.5824,4.666,SEARCH
500,gimbal,dynamic,none,1.7799,25.24,0.50,0.0472,0.0288,1.7305,0.6073,4.669,SEARCH
600,gimbal,dynamic,none,1.8346,25.46,0.60,0.0495,0.0238,1.7802,0.6322,4.672,SEARCH
700,gimbal,dynamic,none,1.8890,25.72,0.70,0.0524,0.0179,1.8299,0.6570,4.676,STABILIZE_5M
800,gimbal,dynamic,none,1.9430,26.04,0.80,0.0555,0.0123,1.8795,0.6818,4.679,STABILIZE_5M
900,gimbal,dynamic,none,1.9996,26.26,0.90,0.0550,0.0092,1.9291,0.7066,4.683,STABILIZE_5M
1000,gimbal,dynamic,none,2.0622,26.35,1.00,0.0456,0.0128,1.9785,0.7313,4.685,STABILIZE_5M
1100,gimbal,dynamic,none,2.1325,26.23,1.10,0.0246,0.0247,2.0278,0.7560,4.686,STABILIZE_5M
1200,gimbal,dynamic,none,2.2143,25.84,1.20,-0.0126,0.0479,2.0770,0.7806,4.685,DESCEND_TO_1M
1300,gimbal,dynamic,none,2.3027,25.26,1.30,-0.0591,0.0790,2.1261,0.8051,4.677,DESCEND_TO_1M
1400,gimbal,dynamic,none,2.4009,24.49,1.40,-0.1186,0.1196,2.1750,0.8296,4.648,DESCEND_TO_1M
1500,gimbal,dynamic,none,2.5017,23.60,1.50,-0.1803,0.1618,2.2238,0.8540,4.602,DESCEND_TO_1M
1600,gimbal,dynamic,none,2.6126,22.64,1.60,-0.2536,0.2109,2.2724,0.8783,4.551,DESCEND_TO_1M
1700,gimbal,dynamic,none,2.7295,21.57,1.70,-0.3324,0.2615,2.3208,0.9024,4.492,DESCEND_TO_1M
1800,gimbal,dynamic,none,2.8458,19.39,1.80,-0.4087,0.3071,2.3691,0.9255,4.435,DESCEND_TO_1M
1900,gimbal,dynamic,none,2.9711,17.24,1.90,-0.4942,0.3546,2.4172,0.9472,4.373,DESCEND_TO_1M
2000,gimbal,dynamic,none,3.0940,15.06,2.00,-0.5756,0.3955,2.4650,0.9675,4.316,DESCEND_TO_1M
2100,gimbal,dynamic,none,3.2252,12.99,2.10,-0.6653,0.4368,2.5127,0.9863,4.254,DESCEND_TO_1M
2200,gimbal,dynamic,none,3.3520,11.03,2.20,-0.7495,0.4723,2.5602,1.0035,4.197,DESCEND_TO_1M
2300,gimbal,dynamic,none,3.4875,9.19,2.30,-0.8425,0.5083,2.6074,1.0193,4.135,DESCEND_TO_1M
2400,gimbal,dynamic,none,3.6169,7.47,2.40,-0.9286,0.5398,2.6544,1.0335,4.079,DESCEND_TO_1M
2500,gimbal,dynamic,none,3.7528,5.85,2.50,-1.0216,0.5728,2.7012,1.0461,4.017,DESCEND_TO_1M
2600,gimbal,dynamic,none,3.8822,4.28,2.60,-1.1077,0.6019,2.7477,1.0572,3.960,DESCEND_TO_1M
2700,gimbal,dynamic,none,4.0192,2.69,2.70,-1.2017,0.6321,2.7939,1.0666,3.899,DESCEND_TO_1M
2800,gimbal,dynamic,none,4.1503,1.09,2.80,-1.2895,0.6593,2.8399,1.0745,3.843,DESCEND_TO_1M
2900,gimbal,dynamic,none,4.2894,0.59,2.90,-1.3857,0.6879,2.8856,1.0807,3.781,DESCEND_TO_1M
3000,gimbal,dynamic,none,4.4222,2.36,3.00,-1.4755,0.7137,2.9311,1.0853,3.725,DESCEND_TO_1M
3100,gimbal,dynamic,none,4.5635,4.23,3.10,-1.5741,0.7409,2.9762,1.0882,3.665,DESCEND_TO_1M
3200,gimbal,dynamic,none,4.6987,6.18,3.20,-1.6665,0.7656,3.0210,1.0896,3.609,DESCEND_TO_1M
3300,gimbal,dynamic,none,4.8427,8.21,3.30,-1.7680,0.7921,3.0655,1.0893,3.549,DESCEND_TO_1M
3400,gimbal,dynamic,none,4.9803,10.29,3.40,-1.8632,0.8162,3.1097,1.0875,3.493,DESCEND_TO_1M
3500,gimbal,dynamic,none,5.1275,12.40,3.50,-1.9681,0.8418,3.1536,1.0841,3.433,DESCEND_TO_1M
3600,gimbal,dynamic,none,5.2673,14.52,3.60,-2.0658,0.8650,3.1972,1.0791,3.377,DESCEND_TO_1M
3700,gimbal,dynamic,none,5.4149,16.64,3.70,-2.1714,0.8888,3.2404,1.0726,3.317,DESCEND_TO_1M
3800,gimbal,dynamic,none,5.5537,18.74,3.80,-2.2683,0.9095,3.2832,1.0646,3.256,DESCEND_TO_1M
3900,gimbal,dynamic,none,5.6995,20.79,3.90,-2.3724,0.9312,3.3258,1.0551,3.200,DESCEND_TO_1M
4000,gimbal,dynamic,none,5.8361,22.80,4.00,-2.4675,0.9506,3.3679,1.0442,3.144,DESCEND_TO_1M
4100,gimbal,dynamic,none,5.9795,24.75,4.10,-2.5695,0.9716,3.4097,1.0319,3.083,DESCEND_TO_1M
4200,gimbal,dynamic,none,6.1145,26.62,4.20,-2.6633,0.9913,3.4511,1.0182,3.023,DESCEND_TO_1M
4300,gimbal,dynamic,none,6.2575,28.43,4.30,-2.7653,1.0129,3.4921,1.0032,2.967,DESCEND_TO_1M
4400,gimbal,dynamic,none,6.3930,30.15,4.40,-2.8601,1.0327,3.5328,0.9868,2.907,DESCEND_TO_1M
4500,gimbal,dynamic,none,6.5367,31.79,4.50,-2.9631,1.0538,3.5730,0.9693,2.852,DESCEND_TO_1M
4600,gimbal,dynamic,none,6.6725,33.36,4.60,-3.0584,1.0731,3.6129,0.9506,2.797,DESCEND_TO_1M
4700,gimbal,dynamic,none,6.8165,34.20,4.70,-3.1622,1.0937,3.6523,0.9310,2.737,DESCEND_TO_1M
4800,gimbal,dynamic,none,6.9526,34.17,4.80,-3.2583,1.1125,3.6914,0.9115,2.682,DESCEND_TO_1M
4900,gimbal,dynamic,none,7.0966,34.14,4.90,-3.3625,1.1333,3.7300,0.8921,2.623,DESCEND_TO_1M
5000,gimbal,dynamic,none,7.2323,34.12,5.00,-3.4587,1.1528,3.7682,0.8730,2.567,DESCEND_TO_1M
5100,gimbal,dynamic,none,7.3760,34.12,5.10,-3.5631,1.1741,3.8059,0.8542,2.508,DESCEND_TO_1M
5200,gimbal,dynamic,none,7.5113,34.11,5.20,-3.6595,1.1934,3.8433,0.8355,2.452,DESCEND_TO_1M
5300,gimbal,dynamic,none,7.6459,34.11,5.30,-3.7555,1.2124,3.8802,0.8170,2.391,DESCEND_TO_1M
5400,gimbal,dynamic,none,7.7876,34.11,5.40,-3.8589,1.2325,3.9166,0.7988,2.336,DESCEND_TO_1M
5500,gimbal,dynamic,none,7.9288,34.11,5.50,-3.9621,1.2519,3.9527,0.7808,2.275,DESCEND_TO_1M
5600,gimbal,dynamic,none,8.0618,34.11,5.60,-4.0577,1.2694,3.9882,0.7630,2.220,DESCEND_TO_1M
5700,gimbal,dynamic,none,8.2022,34.11,5.70,-4.1610,1.2879,4.0233,0.7455,2.160,DESCEND_TO_1M
5800,gimbal,dynamic,none,8.3338,34.11,5.80,-4.2558,1.3050,4.0580,0.7282,2.105,DESCEND_TO_1M
5900,gimbal,dynamic,none,8.4727,34.12,5.90,-4.3584,1.3236,4.0921,0.7111,2.046,DESCEND_TO_1M
6000,gimbal,dynamic,none,8.6037,34.13,6.00,-4.4535,1.3405,4.1259,0.6942,1.991,DESCEND_TO_1M
6100,gimbal,dynamic,none,8.7427,34.13,6.10,-4.5570,1.3578,4.1591,0.6776,1.932,DESCEND_TO_1M
6200,gimbal,dynamic,none,8.8729,34.12,6.20,-4.6524,1.3728,4.1919,0.6612,1.878,DESCEND_TO_1M
6300,gimbal,dynamic,none,9.0101,34.11,6.30,-4.7552,1.3886,4.2242,0.6450,1.819,DESCEND_TO_1M
6400,gimbal,dynamic,none,9.1393,34.10,6.40,-4.8505,1.4033,4.2560,0.6291,1.764,DESCEND_TO_1M
6500,gimbal,dynamic,none,9.2766,34.10,6.50,-4.9542,1.4193,4.2873,0.6135,1.705,DESCEND_TO_1M
6527,gimbal,dynamic,none,9.3035,34.10,6.53,-4.9702,1.4218,4.2977,0.6083,1.687,DESCEND_TO_1M
