time_ms,scenario,drone_x,drone_y,drone_yaw_rad,rotation_error_deg,altitude_m,pixel_err_x,pixel_err_y,ground_err_m,forward_err_m,lateral_err_m,gimbal_norm,locked,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
91,dynamic,0.3079,-0.2130,6.2651,6.81,1.956,-1.2351,1.0055,1.5926,-1.2541,0.9817,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0131
191,dynamic,0.3157,-0.2073,6.2702,9.66,1.956,-1.0041,0.9125,1.3567,-1.0180,0.8969,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0133
294,dynamic,0.3214,-0.2014,6.2724,13.94,1.958,-0.8879,0.8539,1.2318,-0.8977,0.8435,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0125
391,dynamic,0.3275,-0.1950,6.2723,15.73,1.958,-0.7773,0.7921,1.1098,-0.7857,0.7839,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0127
489,dynamic,0.3342,-0.1875,6.2712,15.73,1.959,-0.7773,0.7921,1.1098,-0.7861,0.7834,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0122
589,dynamic,0.3414,-0.1791,6.2718,13.00,1.960,-0.5183,0.7486,0.9105,-0.5274,0.7423,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0121
689,dynamic,0.3483,-0.1697,6.2775,11.41,1.962,-0.4223,0.7585,0.8682,-0.4303,0.7540,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0114
790,dynamic,0.3525,-0.1629,0.0010,11.41,1.963,-0.4223,0.7585,0.8682,-0.4235,0.7578,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0110
888,dynamic,0.3586,-0.1503,0.0123,10.24,1.967,-0.1329,0.7403,0.7522,-0.1290,0.7410,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0099
995,dynamic,0.3625,-0.1414,0.0171,10.24,1.968,-0.1329,0.7403,0.7522,-0.1234,0.7420,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.0097
1095,dynamic,0.3650,-0.1337,0.0215,10.37,1.972,0.0900,0.6966,0.7024,0.1020,0.6950,0.000,1,STABILIZE_HIGH,0.1142,0.3520,0.4148,-0.0083
1195,dynamic,0.3696,-0.1181,0.0306,17.15,1.971,0.3418,0.6782,0.7595,0.3595,0.6690,0.000,1,STABILIZE_HIGH,0.2451,0.3465,0.6860,-0.0088
1290,dynamic,0.3755,-0.1029,0.0375,18.13,1.974,0.5445,0.7171,0.9004,0.5679,0.6987,0.000,1,STABILIZE_HIGH,0.3505,0.3620,0.7252,-0.0079
1394,dynamic,0.3838,-0.0844,0.0457,18.13,1.975,0.5445,0.7171,0.9004,0.5726,0.6949,0.000,1,STABILIZE_HIGH,0.3526,0.3598,0.7252,-0.0075
1493,dynamic,0.3974,-0.0635,0.0552,15.16,1.977,1.1498,0.7447,1.3699,1.1846,0.6880,0.000,1,STABILIZE_HIGH,0.6629,0.3526,0.6064,-0.0069
1598,dynamic,0.4158,-0.0395,0.0660,12.78,1.975,1.3666,0.7230,1.5460,1.4072,0.6403,0.000,1,DESCEND_TO_LOW,0.7770,0.3263,0.5112,-0.0076
1692,dynamic,0.4386,-0.0132,0.0773,12.78,1.974,1.3666,0.7230,1.5460,1.4133,0.6267,0.000,1,DESCEND_TO_LOW,0.7805,0.3196,0.5112,0.3000
1789,dynamic,0.4673,0.0144,0.0872,12.40,1.957,1.9765,0.6908,2.0937,2.0263,0.5273,0.000,1,DESCEND_TO_LOW,1.0000,0.2740,0.4516,0.3000
1890,dynamic,0.5023,0.0425,0.0959,12.40,1.936,1.9765,0.6908,2.0937,2.0308,0.5094,0.000,1,DESCEND_TO_LOW,1.0000,0.2656,0.4960,0.3000
1991,dynamic,0.5437,0.0718,0.1052,11.67,1.908,2.4159,0.7413,2.5271,2.4775,0.4982,0.000,1,DESCEND_TO_LOW,1.0000,0.2633,0.4668,0.3000
2094,dynamic,0.5902,0.1030,0.1148,11.67,1.879,2.4159,0.7413,2.5271,2.4817,0.4771,0.000,1,DESCEND_TO_LOW,1.0000,0.2564,0.4668,0.3000
2192,dynamic,0.6403,0.1351,0.1321,10.88,1.845,2.2630,0.6858,2.3647,2.3298,0.4045,0.000,1,DESCEND_TO_LOW,1.0000,0.2208,0.4352,0.3000
2290,dynamic,0.6937,0.1691,0.1471,8.85,1.821,2.2525,0.6553,2.3459,2.3195,0.3509,0.000,1,DESCEND_TO_LOW,1.0000,0.1916,0.3540,0.3000
2391,dynamic,0.7499,0.2039,0.1675,6.85,1.772,2.2450,0.6108,2.3266,2.3122,0.2586,0.000,1,DESCEND_TO_LOW,1.0000,0.1418,0.2740,0.3000
2488,dynamic,0.8088,0.2383,0.1849,2.95,1.737,2.1690,0.4611,2.2174,2.2159,0.0832,0.000,1,DESCEND_TO_LOW,1.0000,0.0375,0.1180,0.3000
2593,dynamic,0.8702,0.2707,0.2010,0.91,1.697,2.0775,0.4115,2.1179,2.1179,0.0081,0.000,1,DESCEND_TO_LOW,1.0000,-0.0089,0.0364,0.3000
2696,dynamic,0.9339,0.2994,0.2129,-6.40,1.660,1.9606,0.2124,1.9721,1.9625,-0.1937,0.000,1,DESCEND_TO_LOW,1.0000,-0.1406,-0.2560,0.3000
2797,dynamic,0.9988,0.3242,0.2204,-10.87,1.621,1.9668,0.0941,1.9691,1.9416,-0.3280,0.000,1,DESCEND_TO_LOW,1.0000,-0.2321,-0.4348,0.3000
2899,dynamic,1.0669,0.3450,0.2253,-13.94,1.584,2.0254,-0.0349,2.0257,1.9681,-0.4796,0.000,1,DESCEND_TO_LOW,1.0000,-0.3357,-0.5576,0.3000
