time_ms,scenario,drone_x,drone_y,drone_yaw_rad,rotation_error_deg,altitude_m,pixel_err_x,pixel_err_y,ground_err_m,forward_err_m,lateral_err_m,gimbal_norm,locked,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
34,static,1.7166,-0.2066,0.0007,10.15,2.252,0.1971,1.0912,1.1089,0.1983,1.0910,0.000,1,DESCEND_TO_LOW,0.3291,0.0000,0.0000,0.0755
131,static,1.7563,-0.2116,0.0009,0.00,2.253,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.1605,0.5438,0.4060,0.3000
228,static,1.7932,-0.2119,0.0016,0.00,2.245,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.1285,0.4355,0.3252,-0.0025
333,static,1.8254,-0.2098,0.0047,0.00,2.239,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0952,0.3228,0.2410,-0.0042
430,static,1.8569,-0.2032,0.0112,0.00,2.245,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0640,0.2168,0.1618,-0.0025
430,static,1.8833,-0.1944,0.0187,0.00,2.245,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0640,0.2168,0.1618,-0.0025
630,static,1.9128,-0.1800,0.0304,0.00,2.261,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,0.0022
630,static,1.9300,-0.1711,0.0374,0.00,2.261,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,0.0022
829,static,1.9505,-0.1593,0.0461,0.00,2.274,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,0.0061
930,static,1.9652,-0.1523,0.0498,7.06,2.279,-0.4518,0.8072,0.9251,-0.4112,0.8286,0.000,1,DESCEND_TO_LOW,0.0000,0.0000,0.0000,0.0070
1029,static,1.9743,-0.1479,0.0510,7.06,2.287,-0.4518,0.8072,0.9251,-0.4099,0.8293,0.000,1,DESCEND_TO_LOW,-0.1439,0.4096,0.2824,0.3000
1130,static,1.9832,-0.1438,0.0524,7.06,2.278,-0.4518,0.8072,0.9251,-0.4088,0.8298,0.000,1,DESCEND_TO_LOW,-0.1433,0.4099,0.2824,0.3000
1231,static,1.9881,-0.1396,0.0521,6.63,2.256,-0.4879,0.8386,0.9702,-0.4436,0.8628,0.000,1,DESCEND_TO_LOW,-0.1608,0.4259,0.2652,0.3000
1231,static,1.9912,-0.1332,0.0532,6.63,2.256,-0.4879,0.8386,0.9702,-0.4436,0.8628,0.000,1,DESCEND_TO_LOW,-0.1608,0.4259,0.2652,0.3000
1433,static,1.9907,-0.1216,0.0568,8.25,2.210,-0.3823,0.9367,1.0117,-0.3282,0.9570,0.000,1,DESCEND_TO_LOW,-0.1029,0.4747,0.3300,0.3000
1433,static,1.9873,-0.1085,0.0622,8.25,2.210,-0.3823,0.9367,1.0117,-0.3282,0.9570,0.000,1,DESCEND_TO_LOW,-0.1029,0.4747,0.3300,0.3000
1531,static,1.9813,-0.0911,0.0656,8.25,2.202,-0.3823,0.9367,1.0117,-0.3234,0.9587,0.000,1,DESCEND_TO_LOW,-0.1005,0.4756,0.3300,0.3000
1730,static,1.9718,-0.0687,0.0731,0.00,2.159,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0482,0.4286,0.2536,0.3000
1833,static,1.9634,-0.0497,0.0796,0.00,2.131,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0381,0.3395,0.2009,-0.0084
1833,static,1.9550,-0.0304,0.0882,0.00,2.131,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0381,0.3395,0.2009,-0.0084
1933,static,1.9453,-0.0071,0.0973,0.00,2.114,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0288,0.2562,0.1516,-0.0134
2036,static,1.9363,0.0160,0.1061,0.00,2.112,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0186,0.1659,0.0981,-0.0140
2231,static,1.9266,0.0415,0.1149,0.00,2.117,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,-0.0124
2231,static,1.9179,0.0614,0.1211,0.00,2.117,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,-0.0124
2331,static,1.9084,0.0817,0.1264,0.00,2.117,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,-0.0127
2433,static,1.8994,0.1015,0.1294,0.00,2.120,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,-0.0117
