time_ms,scenario,drone_x,drone_y,drone_yaw_rad,rotation_error_deg,altitude_m,pixel_err_x,pixel_err_y,ground_err_m,forward_err_m,lateral_err_m,gimbal_norm,locked,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
87,dynamic,-0.1140,-0.7758,0.0024,18.16,2.160,-1.3584,0.9507,1.6580,-1.3561,0.9540,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.1019
186,dynamic,-0.1197,-0.7961,6.2826,19.11,2.157,-0.9581,0.9628,1.3583,-0.9587,0.9622,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.1028
286,dynamic,-0.1256,-0.8125,6.2804,17.53,2.151,-0.3843,0.9639,1.0377,-0.3870,0.9628,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.1047
388,dynamic,-0.1309,-0.8304,6.2774,17.22,2.145,-0.1192,0.9675,0.9749,-0.1249,0.9668,0.000,1,SEARCH,0.0000,0.0000,0.0000,-0.1064
488,dynamic,-0.1354,-0.8483,6.2738,16.71,2.135,0.3391,0.9585,1.0167,0.3301,0.9616,0.000,1,STABILIZE_HIGH,0.2654,0.5705,0.6684,-0.1094
587,dynamic,-0.1371,-0.8633,6.2716,16.71,2.129,0.3391,0.9585,1.0167,0.3280,0.9624,0.000,1,STABILIZE_HIGH,0.2648,0.5724,0.6684,-0.1112
687,dynamic,-0.1373,-0.8733,6.2705,11.52,2.123,1.3727,0.9813,1.6874,1.3601,0.9987,0.000,1,STABILIZE_HIGH,0.8743,0.5886,0.4608,-0.1130
787,dynamic,-0.1332,-0.8803,6.2702,10.66,2.117,2.3194,1.1511,2.5893,2.3043,1.1811,0.000,1,STABILIZE_HIGH,1.0000,0.6969,0.4264,-0.1150
887,dynamic,-0.1218,-0.8816,6.2770,9.93,2.111,3.3477,1.1962,3.5550,3.3402,1.2170,0.000,1,STABILIZE_HIGH,1.0000,0.7188,0.3972,-0.1166
986,dynamic,-0.1027,-0.8737,0.0136,8.30,2.100,5.0802,1.2341,5.2280,5.0966,1.1648,0.000,1,STABILIZE_HIGH,1.0000,0.6889,0.3320,-0.1200
1090,dynamic,-0.0753,-0.8597,0.0364,0.00,2.094,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,1.0000,0.6607,0.3320,-0.1202
1186,dynamic,-0.0428,-0.8408,0.0594,2.08,2.082,5.6743,0.7055,5.7180,5.7061,0.3674,0.000,1,DESCEND_TO_LOW,1.0000,0.2079,0.0832,0.3000
1287,dynamic,-0.0052,-0.8186,0.0785,2.08,2.059,5.6743,0.7055,5.7180,5.7121,0.2582,0.000,1,DESCEND_TO_LOW,1.0000,0.1437,0.0832,0.3000
1386,dynamic,0.0388,-0.7975,0.0921,-1.07,2.019,5.4243,0.3510,5.4357,5.4336,-0.1492,0.000,1,DESCEND_TO_LOW,1.0000,-0.1084,-0.0428,0.3000
1486,dynamic,0.0857,-0.7784,0.1015,-1.07,1.970,5.4243,0.3510,5.4357,5.4320,-0.2004,0.000,1,DESCEND_TO_LOW,1.0000,-0.1425,-0.0428,0.3000
1586,dynamic,0.1369,-0.7641,0.1063,-7.27,1.920,5.4218,-0.3889,5.4357,5.3499,-0.9622,0.000,1,DESCEND_TO_LOW,1.0000,-0.6395,-0.2908,0.3000
1687,dynamic,0.1905,-0.7557,0.1059,-9.35,1.869,4.9360,-0.4645,4.9578,4.8593,-0.9836,0.000,1,DESCEND_TO_LOW,1.0000,-0.6684,-0.3740,0.3000
