run,repeat,mode,scenario,linear_error_m,rotation_error_deg,engagement_s,csv_file
1,1,STATIC,STATIC,0.1064,0.03,8.68,static_static_204355.csv
2,2,STATIC,STATIC,0.0883,0.07,8.69,static_static_204453.csv
3,3,STATIC,STATIC,0.0950,0.07,8.60,static_static_204552.csv
4,4,STATIC,STATIC,0.1053,0.24,8.67,static_static_204650.csv
5,5,STATIC,STATIC,0.1126,0.09,8.40,static_static_204749.csv
6,1,GIMBAL,STATIC,0.0514,0.03,12.30,gimbal_static_204851.csv
7,2,GIMBAL,STATIC,0.0171,0.29,11.65,gimbal_static_204948.csv
8,3,GIMBAL,STATIC,0.0415,0.18,10.99,gimbal_static_205047.csv
9,4,GIMBAL,STATIC,0.0328,0.27,11.27,gimbal_static_205145.csv
10,5,GIMBAL,STATIC,0.0238,0.35,11.41,gimbal_static_205243.csv
11,1,STATIC,DYNAMIC,0.1707,15.43,12.34,static_dynamic_205342.csv
12,2,STATIC,DYNAMIC,0.2730,5.95,15.52,static_dynamic_205443.csv
13,3,STATIC,DYNAMIC,0.7257,9.97,12.45,static_dynamic_205543.csv
14,4,STATIC,DYNAMIC,0.7096,17.23,14.90,static_dynamic_205645.csv
15,5,STATIC,DYNAMIC,0.4576,7.93,14.08,static_dynamic_205747.csv
16,1,GIMBAL,DYNAMIC,0.1628,2.04,15.06,gimbal_dynamic_205852.csv
17,2,GIMBAL,DYNAMIC,0.1788,0.42,13.14,gimbal_dynamic_205953.csv
18,3,GIMBAL,DYNAMIC,0.1575,4.68,14.39,gimbal_dynamic_210054.csv
19,4,GIMBAL,DYNAMIC,0.1462,0.09,14.94,gimbal_dynamic_210158.csv
20,5,GIMBAL,DYNAMIC,0.1760,0.02,13.92,gimbal_dynamic_210300.csv
21,1,STATIC,DYNAMIC_EASY,0.1816,0.18,42.75,static_dynamic_easy_210430.csv
22,2,STATIC,DYNAMIC_EASY,0.0557,2.82,44.28,static_dynamic_easy_210602.csv
23,3,STATIC,DYNAMIC_EASY,0.0975,7.60,47.93,static_dynamic_easy_210739.csv
24,4,STATIC,DYNAMIC_EASY,0.0864,14.37,44.28,static_dynamic_easy_210911.csv
25,5,STATIC,DYNAMIC_EASY,0.0561,9.47,45.74,static_dynamic_easy_211044.csv
26,1,GIMBAL,DYNAMIC_EASY,0.0614,0.24,49.74,gimbal_dynamic_easy_211220.csv
27,2,GIMBAL,DYNAMIC_EASY,0.0737,-0.30,39.70,gimbal_dynamic_easy_211347.csv
28,3,GIMBAL,DYNAMIC_EASY,0.0475,-0.63,50.37,gimbal_dynamic_easy_211528.csv
29,4,GIMBAL,DYNAMIC_EASY,0.0468,-0.14,48.44,gimbal_dynamic_easy_211707.csv
30,5,GIMBAL,DYNAMIC_EASY,0.0475,1.43,45.42,gimbal_dynamic_easy_211841.csv
