run,repeat,mode,scenario,linear_error_m,rotation_error_deg,engagement_s,csv_file
1,1,STATIC,DYNAMIC,0.2399,-8.16,27.49,static_dynamic_195208.csv
2,2,STATIC,DYNAMIC,0.2928,0.08,26.33,static_dynamic_195410.csv
3,3,STATIC,DYNAMIC,0.3534,-23.93,23.96,static_dynamic_195549.csv
4,4,STATIC,DYNAMIC,TIMEOUT,TIMEOUT,TIMEOUT,N/A
5,5,STATIC,DYNAMIC,TIMEOUT,TIMEOUT,TIMEOUT,N/A
6,6,STATIC,DYNAMIC,0.1525,27.71,24.88,static_dynamic_200859.csv
7,7,STATIC,DYNAMIC,0.4324,-27.23,18.18,static_dynamic_201131.csv
8,8,STATIC,DYNAMIC,0.1835,-26.52,20.15,static_dynamic_201319.csv
9,9,STATIC,DYNAMIC,0.1152,10.66,17.99,static_dynamic_201518.csv
10,10,STATIC,DYNAMIC,0.2753,-6.14,21.82,static_dynamic_201828.csv
11,1,GIMBAL,DYNAMIC,0.2349,-9.86,30.65,gimbal_dynamic_202033.csv
12,2,GIMBAL,DYNAMIC,0.3931,-0.39,22.01,gimbal_dynamic_202215.csv
13,3,GIMBAL,DYNAMIC,0.3215,-6.12,21.33,gimbal_dynamic_202415.csv
14,4,GIMBAL,DYNAMIC,0.2185,-4.22,22.72,gimbal_dynamic_202543.csv
15,5,GIMBAL,DYNAMIC,0.2084,-1.50,25.57,gimbal_dynamic_202747.csv
16,6,GIMBAL,DYNAMIC,0.3262,8.56,30.37,gimbal_dynamic_203003.csv
17,7,GIMBAL,DYNAMIC,0.2448,0.02,28.82,gimbal_dynamic_203156.csv
18,8,GIMBAL,DYNAMIC,0.3094,7.39,29.65,gimbal_dynamic_203413.csv
19,9,GIMBAL,DYNAMIC,0.2117,-1.93,32.46,gimbal_dynamic_203613.csv
20,10,GIMBAL,DYNAMIC,0.1832,-11.33,29.54,gimbal_dynamic_203817.csv
21,1,STATIC,STATIC,0.1041,-0.12,13.19,static_static_203918.csv
22,2,STATIC,STATIC,0.0942,-0.20,10.49,static_static_204019.csv
23,3,STATIC,STATIC,0.0940,-0.02,11.87,static_static_204118.csv
24,4,STATIC,STATIC,0.0962,-0.14,12.95,static_static_204218.csv
25,5,STATIC,STATIC,0.1326,-0.22,10.80,static_static_204319.csv
26,6,STATIC,STATIC,0.0663,-0.20,11.44,static_static_204418.csv
27,7,STATIC,STATIC,0.0932,-0.09,12.52,static_static_204518.csv
28,8,STATIC,STATIC,0.0903,-0.33,14.38,static_static_204617.csv
29,9,STATIC,STATIC,0.1108,-0.21,11.13,static_static_204718.csv
30,10,STATIC,STATIC,0.0921,0.02,13.03,static_static_204818.csv
31,1,GIMBAL,STATIC,0.0110,0.01,18.52,gimbal_static_204922.csv
32,2,GIMBAL,STATIC,0.0266,-0.06,15.68,gimbal_static_205028.csv
33,3,GIMBAL,STATIC,0.0289,0.05,17.44,gimbal_static_205133.csv
34,4,GIMBAL,STATIC,0.0729,0.08,15.10,gimbal_static_205234.csv
35,5,GIMBAL,STATIC,0.0405,-0.01,15.01,gimbal_static_205337.csv
36,6,GIMBAL,STATIC,0.0450,0.12,17.08,gimbal_static_205443.csv
37,7,GIMBAL,STATIC,0.0222,0.07,15.59,gimbal_static_205544.csv
38,8,GIMBAL,STATIC,0.0528,-0.04,20.22,gimbal_static_205653.csv
39,9,GIMBAL,STATIC,0.0148,-0.00,14.73,gimbal_static_205756.csv
40,10,GIMBAL,STATIC,0.0162,0.01,18.22,gimbal_static_205903.csv
