time_ms,mode,scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
57,static,static,3.9297,-0.01,0.06,6.0704,0.0229,10.0000,0.0000,2.804,SEARCH,1.9885,-0.0109,0.0000,-0.0589
157,static,static,3.8352,-0.01,0.16,6.1649,0.0253,10.0000,0.0000,2.806,SEARCH,1.9372,-0.0122,0.0000,-0.0582
257,static,static,3.7333,-0.01,0.26,6.2668,0.0279,10.0000,0.0000,2.808,SEARCH,1.8901,-0.0133,0.0000,-0.0575
357,static,static,3.6398,-0.00,0.36,6.3603,0.0303,10.0000,0.0000,2.810,SEARCH,1.8393,-0.0146,0.0000,-0.0569
457,static,static,3.5382,0.00,0.46,6.4619,0.0333,10.0000,0.0000,2.813,SEARCH,1.7886,-0.0160,0.0000,-0.0562
557,static,static,3.4438,0.01,0.56,6.5564,0.0363,10.0000,0.0000,2.815,SEARCH,1.7415,-0.0175,0.0000,-0.0555
657,static,static,3.3489,0.01,0.66,6.6513,0.0394,10.0000,0.0000,2.817,HOLD,1.7100,-0.0185,0.0000,-0.0551
758,static,static,3.2460,0.02,0.76,6.7543,0.0436,10.0000,0.0000,2.819,HOLD,1.7100,-0.0185,0.0000,-0.0551
857,static,static,3.1509,0.02,0.86,6.8495,0.0477,10.0000,0.0000,2.821,HOLD,1.6673,-0.0181,0.0000,0.0006
957,static,static,3.0474,0.02,0.96,6.9530,0.0515,10.0000,0.0000,2.820,HOLD,1.6245,-0.0176,0.0000,0.0003
1057,static,static,2.9433,0.02,1.06,7.0572,0.0546,10.0000,0.0000,2.817,DESCEND_TO_LOW,1.6033,-0.0174,0.0000,-0.0001
1157,static,static,2.8468,0.01,1.16,7.1538,0.0567,10.0000,0.0000,2.813,DESCEND_TO_LOW,0.1488,-0.0574,-0.2718,0.5000
1257,static,static,2.7430,0.02,1.26,7.2576,0.0582,10.0000,0.0000,2.783,DESCEND_TO_LOW,0.1088,-0.0568,-0.1824,0.5000
1357,static,static,2.6514,0.08,1.36,7.3493,0.0588,10.0000,0.0000,2.747,DESCEND_TO_LOW,-0.2386,-0.0599,-0.1146,0.5000
1457,static,static,2.5679,0.17,1.46,7.4328,0.0587,10.0000,0.0000,2.701,DESCEND_TO_LOW,-0.5895,-0.0585,0.0120,0.5000
1557,static,static,2.4926,0.31,1.56,7.5081,0.0580,10.0000,0.0000,2.658,DESCEND_TO_LOW,-0.7438,-0.0596,-0.0480,0.5000
1657,static,static,2.4378,0.44,1.66,7.5629,0.0565,10.0000,0.0000,2.612,DESCEND_TO_LOW,-1.0000,-0.0491,0.0162,0.5000
1757,static,static,2.4077,0.57,1.76,7.5929,0.0550,10.0000,0.0000,2.568,DESCEND_TO_LOW,-1.0000,-0.0401,0.0786,0.5000
1857,static,static,2.3982,0.68,1.86,7.6024,0.0538,10.0000,0.0000,2.518,DESCEND_TO_LOW,-1.0000,-0.0423,0.0210,0.5000
1957,static,static,2.4095,0.78,1.96,7.5911,0.0531,10.0000,0.0000,2.470,DESCEND_TO_LOW,-1.0000,-0.0270,-0.0228,0.5000
2057,static,static,2.4402,0.87,2.06,7.5604,0.0536,10.0000,0.0000,2.414,DESCEND_TO_LOW,-0.9243,-0.0180,0.0384,0.5000
2157,static,static,2.4835,0.99,2.16,7.5171,0.0557,10.0000,0.0000,2.360,DESCEND_TO_LOW,-0.8032,-0.0100,0.1008,0.5000
2257,static,static,2.5437,1.11,2.26,7.4570,0.0600,10.0000,0.0000,2.299,DESCEND_TO_LOW,-0.4125,-0.0000,0.1086,0.5000
2357,static,static,2.6078,1.24,2.36,7.3931,0.0660,10.0000,0.0000,2.244,DESCEND_TO_LOW,-0.2179,-0.0004,0.0540,0.5000
2457,static,static,2.6805,1.34,2.46,7.3206,0.0743,10.0000,0.0000,2.186,DESCEND_TO_LOW,0.3105,0.0049,0.0582,0.5000
2557,static,static,2.7443,1.39,2.56,7.2569,0.0832,10.0000,0.0000,2.131,DESCEND_TO_LOW,0.5281,-0.0048,-0.0624,0.5000
2657,static,static,2.8031,1.39,2.66,7.1985,0.0941,10.0000,0.0000,2.082,DESCEND_TO_LOW,0.5355,-0.0048,-0.0624,0.5000
2757,static,static,2.8428,1.34,2.76,7.1591,0.1045,10.0000,0.0000,2.032,DESCEND_TO_LOW,1.0000,-0.0195,0.0990,0.5000
2857,static,static,2.8671,1.28,2.86,7.1352,0.1161,10.0000,0.0000,1.986,DESCEND_TO_LOW,1.0000,-0.0352,0.0348,0.5000
2957,static,static,2.8704,1.18,2.96,7.1324,0.1263,10.0000,0.0000,1.935,DESCEND_TO_LOW,1.0000,-0.0655,0.0666,0.5000
3057,static,static,2.8531,1.05,3.06,7.1501,0.1355,10.0000,0.0000,1.886,DESCEND_TO_LOW,1.0000,-0.0913,-0.0012,0.5000
3157,static,static,2.8194,0.87,3.16,7.1842,0.1423,10.0000,0.0000,1.834,DESCEND_TO_LOW,1.0000,-0.1044,0.0432,0.5000
3258,static,static,2.7660,0.68,3.26,7.2379,0.1469,10.0000,0.0000,1.775,STABILIZE_LOW,1.0000,-0.1275,0.0720,0.5000
3357,static,static,2.7029,0.48,3.36,7.3011,0.1475,10.0000,0.0000,1.720,STABILIZE_LOW,1.0000,-0.1616,0.0408,0.0660
3457,static,static,2.6261,0.32,3.46,7.3778,0.1438,10.0000,0.0000,1.690,STABILIZE_LOW,1.0000,-0.1719,0.0858,0.0570
3557,static,static,2.5340,0.17,3.56,7.4696,0.1355,10.0000,0.0000,1.675,STABILIZE_LOW,1.0000,-0.1853,0.0156,0.0524
3657,static,static,2.4434,0.06,3.66,7.5597,0.1244,10.0000,0.0000,1.660,STABILIZE_LOW,1.0000,-0.1887,0.0090,0.0480
3757,static,static,2.3417,-0.00,3.76,7.6609,0.1090,10.0000,0.0000,1.648,STABILIZE_LOW,1.0000,-0.1799,0.0060,0.0444
3857,static,static,2.2461,-0.03,3.86,7.7558,0.0920,10.0000,0.0000,1.636,TERMINAL_LAND,1.0000,-0.0980,0.0174,0.0000
3957,static,static,2.1414,-0.02,3.96,7.8597,0.0707,10.0000,0.0000,1.629,TERMINAL_LAND,1.0000,-0.0792,-0.0222,0.0000
4057,static,static,2.0361,-0.00,4.06,7.9644,0.0478,10.0000,0.0000,1.623,TERMINAL_LAND,1.0000,-0.0567,0.0078,0.0000
4157,static,static,1.9391,0.02,4.16,8.0611,0.0268,10.0000,0.0000,1.619,TERMINAL_LAND,1.0000,-0.0355,0.0066,0.0000
4257,static,static,1.8350,0.02,4.26,8.1650,0.0046,10.0000,0.0000,1.616,TERMINAL_LAND,1.0000,-0.0146,-0.0270,0.0000
4357,static,static,1.7403,0.01,4.36,8.2597,-0.0141,10.0000,0.0000,1.613,TERMINAL_LAND,1.0000,0.0066,0.0282,0.0000
4457,static,static,1.6395,-0.03,4.46,8.3608,-0.0311,10.0000,0.0000,1.611,TERMINAL_LAND,1.0000,0.0237,0.0054,0.0000
4557,static,static,1.5477,-0.09,4.56,8.4529,-0.0435,10.0000,0.0000,1.608,TERMINAL_LAND,1.0000,0.0386,0.0384,0.0000
4657,static,static,1.4499,-0.15,4.66,8.5511,-0.0540,10.0000,0.0000,1.606,TERMINAL_LAND,1.0000,0.0503,0.0156,0.0000
4757,static,static,1.3605,-0.21,4.76,8.6409,-0.0611,10.0000,0.0000,1.604,TERMINAL_LAND,1.0000,0.0584,-0.0024,0.0000
4857,static,static,1.2711,-0.26,4.86,8.7307,-0.0666,10.0000,0.0000,1.601,TERMINAL_LAND,1.0000,0.0644,-0.0162,0.0000
4957,static,static,1.1738,-0.29,4.96,8.8284,-0.0714,10.0000,0.0000,1.599,TERMINAL_LAND,1.0000,0.0697,-0.0066,0.0000
5057,static,static,1.0763,-0.29,5.06,8.9263,-0.0748,10.0000,0.0000,1.596,TERMINAL_LAND,1.0000,0.0737,0.0054,0.0000
5157,static,static,0.9862,-0.28,5.16,9.0168,-0.0764,10.0000,0.0000,1.594,TERMINAL_LAND,1.0000,0.0759,0.0054,0.0000
5257,static,static,0.8881,-0.26,5.26,9.1153,-0.0772,10.0000,0.0000,1.591,TERMINAL_LAND,0.9226,0.0770,-0.0126,0.0000
5357,static,static,0.7973,-0.24,5.36,9.2064,-0.0774,10.0000,0.0000,1.588,TERMINAL_LAND,0.8315,0.0774,-0.0210,0.0000
5457,static,static,0.7070,-0.21,5.46,9.2972,-0.0769,10.0000,0.0000,1.585,TERMINAL_LAND,0.7405,0.0772,-0.0378,0.0000
5557,static,static,0.6106,-0.17,5.56,9.3941,-0.0758,10.0000,0.0000,1.583,TERMINAL_LAND,0.6429,0.0763,-0.0234,0.0000
5657,static,static,0.5170,-0.14,5.66,9.4884,-0.0740,10.0000,0.0000,1.582,TERMINAL_LAND,0.5547,0.0749,0.0000,0.0000
5757,static,static,0.4346,-0.12,5.76,9.5714,-0.0719,10.0000,0.0000,1.581,TERMINAL_LAND,0.4627,0.0728,0.0000,0.0000
5857,static,static,0.3506,-0.10,5.86,9.6562,-0.0690,10.0000,0.0000,1.582,TERMINAL_LAND,0.3757,0.0702,0.0000,0.0000
5957,static,static,0.2787,-0.10,5.96,9.7292,-0.0658,10.0000,0.0000,1.583,TERMINAL_LAND,0.3005,0.0672,0.0000,0.0000
6057,static,static,0.2082,-0.11,6.06,9.8011,-0.0615,10.0000,0.0000,1.585,TERMINAL_LAND,0.2256,0.0633,0.0000,0.0000
6157,static,static,0.1503,-0.13,6.16,9.8609,-0.0568,10.0000,0.0000,1.586,TERMINAL_LAND,0.1634,0.0588,0.0000,0.5000
6257,static,static,0.0950,-0.16,6.26,9.9200,-0.0513,10.0000,0.0000,1.558,TERMINAL_LAND,0.1020,0.0535,0.0000,0.5000
6357,static,static,0.0558,-0.19,6.36,9.9681,-0.0458,10.0000,0.0000,1.520,TERMINAL_LAND,0.0512,0.0481,0.0000,0.5000
6457,static,static,0.0415,-0.22,6.46,10.0133,-0.0393,10.0000,0.0000,1.474,TERMINAL_LAND,0.0033,0.0419,0.0000,0.5000
6557,static,static,0.0583,-0.25,6.56,10.0484,-0.0325,10.0000,0.0000,1.426,TERMINAL_LAND,-0.0345,0.0355,0.0000,0.5000
6657,static,static,0.0810,-0.26,6.66,10.0772,-0.0246,10.0000,0.0000,1.381,TERMINAL_LAND,-0.0682,0.0274,0.0000,0.5000
6757,static,static,0.1030,-0.26,6.76,10.1019,-0.0151,10.0000,0.0000,1.334,TERMINAL_LAND,-0.0931,0.0188,0.0000,0.5000
6857,static,static,0.1193,-0.25,6.86,10.1191,-0.0061,10.0000,0.0000,1.282,TERMINAL_LAND,-0.1139,0.0091,0.0000,0.5000
6957,static,static,0.1324,-0.23,6.96,10.1324,0.0037,10.0000,0.0000,1.233,TERMINAL_LAND,-0.1279,0.0001,0.0000,0.5000
7057,static,static,0.1408,-0.20,7.06,10.1402,0.0126,10.0000,0.0000,1.180,TERMINAL_LAND,-0.1381,-0.0097,0.0000,0.5000
7157,static,static,0.1458,-0.17,7.16,10.1441,0.0218,10.0000,0.0000,1.131,TERMINAL_LAND,-0.1431,-0.0184,0.0000,0.5000
7257,static,static,0.1472,-0.14,7.26,10.1441,0.0304,10.0000,0.0000,1.077,TERMINAL_LAND,-0.1446,-0.0265,0.0000,0.5000
7357,static,static,0.1460,-0.11,7.36,10.1410,0.0379,10.0000,0.0000,1.028,TERMINAL_LAND,-0.1426,-0.0349,0.0000,0.5000
