mode,scenario,total_runs,linear_error_m_n,linear_error_m_mean,linear_error_m_std,linear_error_m_min,linear_error_m_max,rotation_error_deg_n,rotation_error_deg_mean,rotation_error_deg_std,rotation_error_deg_min,rotation_error_deg_max,engagement_s_n,engagement_s_mean,engagement_s_std,engagement_s_min,engagement_s_max
GIMBAL,DYNAMIC,10,10,0.1766,0.0373,0.1358,0.2392,10,-1.5940,6.6395,-19.1100,7.0600,10,17.6440,0.9645,16.2800,19.6100
STATIC,DYNAMIC,10,10,1.2661,1.6296,0.2550,4.4119,10,1.1040,26.5061,-37.0900,29.0300,10,18.4490,4.8742,12.6300,29.8700
