time_ms,mode,scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
66,static,dynamic,0.9218,-14.05,0.07,-0.0157,-0.0192,0.8861,0.1719,2.777,SEARCH,0.0000,0.0000,0.0000,-0.0669
166,static,dynamic,0.9577,-14.04,0.17,-0.0148,-0.0172,0.9260,0.1619,2.780,SEARCH,0.0000,0.0000,0.0000,-0.0659
266,static,dynamic,0.9940,-14.02,0.27,-0.0140,-0.0149,0.9659,0.1519,2.784,SEARCH,0.0000,0.0000,0.0000,-0.0649
366,static,dynamic,1.0307,-14.01,0.37,-0.0133,-0.0125,1.0058,0.1419,2.787,SEARCH,0.0000,0.0000,0.0000,-0.0639
466,static,dynamic,1.0681,-13.99,0.47,-0.0128,-0.0113,1.0457,0.1319,2.790,SEARCH,0.0000,0.0000,0.0000,-0.0629
566,static,dynamic,1.1061,-13.97,0.57,-0.0124,-0.0109,1.0857,0.1220,2.793,SEARCH,0.0000,0.0000,0.0000,-0.0620
666,static,dynamic,1.1447,-13.95,0.67,-0.0124,-0.0111,1.1257,0.1120,2.796,SEARCH,0.0000,0.0000,0.0000,-0.0612
766,static,dynamic,1.1837,-13.94,0.77,-0.0125,-0.0120,1.1657,0.1020,2.799,SEARCH,0.0000,0.0000,0.0000,-0.0604
866,static,dynamic,1.2232,-13.93,0.87,-0.0130,-0.0134,1.2057,0.0920,2.802,SEARCH,0.0000,0.0000,0.0000,-0.0595
966,static,dynamic,1.2632,-13.93,0.97,-0.0138,-0.0153,1.2457,0.0820,2.804,SEARCH,0.0000,0.0000,0.0000,-0.0587
1066,static,dynamic,1.3028,-13.93,1.07,-0.0142,-0.0170,1.2857,0.0720,2.807,SEARCH,0.0000,0.0000,0.0000,-0.0580
1166,static,dynamic,1.3422,-13.94,1.17,-0.0141,-0.0187,1.3256,0.0620,2.809,SEARCH,0.0000,0.0000,0.0000,-0.0572
1266,static,dynamic,1.3814,-13.94,1.27,-0.0138,-0.0201,1.3656,0.0520,2.812,SEARCH,0.0000,0.0000,0.0000,-0.0565
