mode,scenario,total_runs,linear_error_m_n,linear_error_m_mean,linear_error_m_std,linear_error_m_min,linear_error_m_max,rotation_error_deg_n,rotation_error_deg_mean,rotation_error_deg_std,rotation_error_deg_min,rotation_error_deg_max,engagement_s_n,engagement_s_mean,engagement_s_std,engagement_s_min,engagement_s_max
GIMBAL,DYNAMIC,10,10,0.2210,0.0644,0.1485,0.2956,10,4.6910,6.6166,-3.7600,16.4600,10,17.1990,3.9260,13.2300,25.5400
STATIC,DYNAMIC,10,10,0.4786,0.2643,0.0891,1.0081,10,4.8120,16.5344,-24.6600,24.0900,10,15.5530,2.3056,12.3900,19.6000
