run,repeat,mode,scenario,linear_error_m,rotation_error_deg,engagement_s,csv_file
1,1,STATIC,DYNAMIC,0.3455,3.47,12.97,static_dynamic_110243.csv
2,2,STATIC,DYNAMIC,0.2206,9.05,11.86,static_dynamic_110452.csv
3,3,STATIC,DYNAMIC,0.6606,12.22,14.82,static_dynamic_110619.csv
4,4,STATIC,DYNAMIC,0.3145,-12.51,12.94,static_dynamic_110828.csv
5,5,STATIC,DYNAMIC,0.4984,-27.31,13.59,static_dynamic_111008.csv
6,6,STATIC,DYNAMIC,0.3090,1.45,11.88,static_dynamic_111142.csv
7,7,STATIC,DYNAMIC,0.1480,9.95,16.58,static_dynamic_111332.csv
8,8,STATIC,DYNAMIC,0.1127,-16.12,13.99,static_dynamic_111529.csv
9,9,STATIC,DYNAMIC,0.0236,-2.00,14.38,static_dynamic_111817.csv
10,10,STATIC,DYNAMIC,0.2271,0.66,13.05,static_dynamic_112008.csv
11,1,GIMBAL,DYNAMIC,0.1312,0.12,14.88,gimbal_dynamic_112144.csv
12,2,GIMBAL,DYNAMIC,0.3014,-6.92,17.15,gimbal_dynamic_112504.csv
13,3,GIMBAL,DYNAMIC,0.2284,7.58,14.43,gimbal_dynamic_112646.csv
14,4,GIMBAL,DYNAMIC,0.1119,15.00,14.68,gimbal_dynamic_112800.csv
15,5,GIMBAL,DYNAMIC,0.2236,0.08,15.02,gimbal_dynamic_112954.csv
16,6,GIMBAL,DYNAMIC,0.1881,-3.04,16.32,gimbal_dynamic_113217.csv
17,7,GIMBAL,DYNAMIC,0.2715,-5.32,16.12,gimbal_dynamic_113436.csv
18,8,GIMBAL,DYNAMIC,0.1421,4.70,14.71,gimbal_dynamic_113622.csv
19,9,GIMBAL,DYNAMIC,0.2826,-0.70,15.42,gimbal_dynamic_113743.csv
20,10,GIMBAL,DYNAMIC,0.1309,-0.58,14.05,gimbal_dynamic_114002.csv
21,1,STATIC,STATIC,0.1189,0.13,6.41,static_static_114058.csv
22,2,STATIC,STATIC,0.0997,0.16,6.36,static_static_114152.csv
23,3,STATIC,STATIC,0.1217,0.08,6.26,static_static_114245.csv
24,4,STATIC,STATIC,0.1705,0.11,5.92,static_static_114338.csv
25,5,STATIC,STATIC,0.1255,0.01,5.97,static_static_114432.csv
26,6,STATIC,STATIC,0.1001,0.04,6.02,static_static_114525.csv
27,7,STATIC,STATIC,0.1567,0.03,5.65,static_static_114618.csv
28,8,STATIC,STATIC,0.1332,-0.03,6.01,static_static_114712.csv
29,9,STATIC,STATIC,0.1375,-0.00,6.01,static_static_114805.csv
30,10,STATIC,STATIC,0.1456,-0.00,5.74,static_static_114858.csv
31,1,GIMBAL,STATIC,0.0264,-0.01,8.68,gimbal_static_114955.csv
32,2,GIMBAL,STATIC,0.0371,-0.05,8.87,gimbal_static_115052.csv
33,3,GIMBAL,STATIC,0.0433,-0.03,8.27,gimbal_static_115151.csv
34,4,GIMBAL,STATIC,0.0341,0.11,8.66,gimbal_static_115250.csv
35,5,GIMBAL,STATIC,0.0300,0.06,9.35,gimbal_static_115348.csv
36,6,GIMBAL,STATIC,0.0148,0.03,9.69,gimbal_static_115447.csv
37,7,GIMBAL,STATIC,0.0092,0.02,9.02,gimbal_static_115545.csv
38,8,GIMBAL,STATIC,0.0414,0.00,9.06,gimbal_static_115644.csv
39,9,GIMBAL,STATIC,0.0200,-0.03,9.37,gimbal_static_115742.csv
40,10,GIMBAL,STATIC,0.0341,-0.05,9.12,gimbal_static_115841.csv
