time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state
100,static,static,none,5.6635,0.01,0.10,4.3365,-0.0004,10.0000,0.0000,4.791,DESCEND_TO_1M
200,static,static,none,5.5719,0.02,0.20,4.4281,0.0030,10.0000,0.0000,4.766,DESCEND_TO_1M
300,static,static,none,5.4753,0.03,0.30,4.5247,0.0060,10.0000,0.0000,4.720,DESCEND_TO_1M
400,static,static,none,5.3907,0.03,0.40,4.6093,0.0085,10.0000,0.0000,4.673,DESCEND_TO_1M
500,static,static,none,5.3118,0.04,0.50,4.6882,0.0109,10.0000,0.0000,4.625,DESCEND_TO_1M
600,static,static,none,5.2329,0.03,0.60,4.7671,0.0134,10.0000,0.0000,4.573,DESCEND_TO_1M
700,static,static,none,5.1658,0.04,0.70,4.8342,0.0155,10.0000,0.0000,4.525,DESCEND_TO_1M
800,static,static,none,5.0988,0.05,0.80,4.9013,0.0183,10.0000,0.0000,4.473,DESCEND_TO_1M
900,static,static,none,5.0411,0.11,0.90,4.9589,0.0217,10.0000,0.0000,4.424,DESCEND_TO_1M
1000,static,static,none,4.9823,0.19,1.00,5.0178,0.0256,10.0000,0.0000,4.372,DESCEND_TO_1M
1100,static,static,none,4.9312,0.28,1.10,5.0689,0.0295,10.0000,0.0000,4.323,DESCEND_TO_1M
1200,static,static,none,4.8789,0.40,1.20,5.1212,0.0346,10.0000,0.0000,4.269,DESCEND_TO_1M
1300,static,static,none,4.8324,0.53,1.30,5.1678,0.0403,10.0000,0.0000,4.220,DESCEND_TO_1M
1400,static,static,none,4.7829,0.66,1.40,5.2173,0.0475,10.0000,0.0000,4.166,DESCEND_TO_1M
1500,static,static,none,4.7375,0.78,1.50,5.2628,0.0549,10.0000,0.0000,4.116,DESCEND_TO_1M
1600,static,static,none,4.6887,0.87,1.60,5.3117,0.0633,10.0000,0.0000,4.063,DESCEND_TO_1M
