run,repeat,mode,scenario,linear_error_m,rotation_error_deg,engagement_s,csv_file
1,1,STATIC,DYNAMIC,0.4653,15.14,29.87,static_dynamic_092830.csv
2,2,STATIC,DYNAMIC,0.2550,27.91,23.47,static_dynamic_092941.csv
3,3,STATIC,DYNAMIC,0.2946,-27.15,18.22,static_dynamic_093044.csv
4,4,STATIC,DYNAMIC,4.4119,-37.09,12.63,static_dynamic_093141.csv
5,5,STATIC,DYNAMIC,4.2798,29.03,15.30,static_dynamic_093243.csv
6,6,STATIC,DYNAMIC,0.6406,-28.15,15.89,static_dynamic_093347.csv
7,7,STATIC,DYNAMIC,0.6183,21.58,16.45,static_dynamic_093451.csv
8,8,STATIC,DYNAMIC,0.6920,-18.26,16.64,static_dynamic_093554.csv
9,9,STATIC,DYNAMIC,0.4556,27.93,17.75,static_dynamic_093658.csv
10,10,STATIC,DYNAMIC,0.5475,0.10,18.27,static_dynamic_093802.csv
11,1,GIMBAL,DYNAMIC,0.1491,-0.35,17.26,gimbal_dynamic_093905.csv
12,2,GIMBAL,DYNAMIC,0.1358,7.06,17.54,gimbal_dynamic_094008.csv
13,3,GIMBAL,DYNAMIC,0.1370,-0.61,17.26,gimbal_dynamic_094112.csv
14,4,GIMBAL,DYNAMIC,0.1571,0.46,16.28,gimbal_dynamic_094214.csv
15,5,GIMBAL,DYNAMIC,0.1405,-19.11,17.26,gimbal_dynamic_094318.csv
16,6,GIMBAL,DYNAMIC,0.1963,-0.19,17.53,gimbal_dynamic_094422.csv
17,7,GIMBAL,DYNAMIC,0.1889,-2.24,16.88,gimbal_dynamic_094525.csv
18,8,GIMBAL,DYNAMIC,0.2392,-0.99,18.87,gimbal_dynamic_094630.csv
19,9,GIMBAL,DYNAMIC,0.2127,-0.42,17.95,gimbal_dynamic_094733.csv
20,10,GIMBAL,DYNAMIC,0.2094,0.45,19.61,gimbal_dynamic_094838.csv
