time_ms,mode,scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
52,static,static,2.4867,-0.01,0.05,7.5135,0.0324,10.0000,0.0000,2.850,DESCEND_TO_LOW,-0.1601,-0.0262,-0.0204,0.5000
152,static,static,2.3807,-0.00,0.15,7.6195,0.0332,10.0000,0.0000,2.846,DESCEND_TO_LOW,-0.2382,-0.0301,-0.0240,0.5000
252,static,static,2.2859,0.00,0.25,7.7143,0.0333,10.0000,0.0000,2.815,DESCEND_TO_LOW,-0.6591,-0.0334,-0.0288,0.5000
352,static,static,2.1946,0.00,0.35,7.8056,0.0326,10.0000,0.0000,2.766,DESCEND_TO_LOW,-0.9533,-0.0335,-0.0300,0.5000
452,static,static,2.1289,-0.02,0.45,7.8714,0.0318,10.0000,0.0000,2.720,DESCEND_TO_LOW,-1.0000,-0.0363,-0.0342,0.5000
552,static,static,2.0829,-0.08,0.55,7.9174,0.0321,10.0000,0.0000,2.671,DESCEND_TO_LOW,-1.0000,-0.0352,-0.0348,0.5000
652,static,static,2.0637,-0.18,0.65,7.9366,0.0331,10.0000,0.0000,2.622,DESCEND_TO_LOW,-1.0000,-0.0388,-0.0396,0.5000
752,static,static,2.0666,-0.18,0.75,7.9337,0.0351,10.0000,0.0000,2.573,DESCEND_TO_LOW,-1.0000,-0.0387,0.0096,0.5000
852,static,static,2.0871,-0.08,0.85,7.9133,0.0382,10.0000,0.0000,2.522,DESCEND_TO_LOW,-1.0000,-0.0494,-0.0462,0.5000
952,static,static,2.1250,0.09,0.95,7.8755,0.0433,10.0000,0.0000,2.463,DESCEND_TO_LOW,-1.0000,-0.0541,-0.0462,0.5000
1052,static,static,2.1725,0.28,1.05,7.8281,0.0498,10.0000,0.0000,2.409,DESCEND_TO_LOW,-1.0000,-0.0451,0.0114,0.5000
1152,static,static,2.2337,0.47,1.15,7.7670,0.0586,10.0000,0.0000,2.347,DESCEND_TO_LOW,-1.0000,-0.0500,0.0114,0.5000
1252,static,static,2.2980,0.67,1.25,7.7030,0.0679,10.0000,0.0000,2.289,DESCEND_TO_LOW,-0.4950,-0.0442,0.0666,0.5000
1352,static,static,2.3734,0.81,1.35,7.6279,0.0782,10.0000,0.0000,2.227,DESCEND_TO_LOW,-0.1922,-0.0450,0.0678,0.5000
1452,static,static,2.4442,0.89,1.45,7.5574,0.0877,10.0000,0.0000,2.173,HOLD,-0.1937,-0.0458,0.0678,0.5000
1552,static,static,2.5169,0.91,1.55,7.4850,0.0981,10.0000,0.0000,2.118,DESCEND_TO_LOW,0.4235,-0.0560,0.0642,0.5000
1652,static,static,2.5771,0.86,1.65,7.4251,0.1074,10.0000,0.0000,2.071,DESCEND_TO_LOW,0.5504,-0.0612,0.0624,0.5000
1752,static,static,2.6310,0.75,1.75,7.3716,0.1170,10.0000,0.0000,2.022,DESCEND_TO_LOW,0.8235,-0.0764,0.0528,0.5000
1852,static,static,2.6653,0.60,1.85,7.3377,0.1255,10.0000,0.0000,1.977,DESCEND_TO_LOW,1.0000,-0.0964,0.0408,0.5000
1952,static,static,2.6818,0.43,1.95,7.3215,0.1331,10.0000,0.0000,1.930,DESCEND_TO_LOW,1.0000,-0.1166,0.0288,0.5000
2052,static,static,2.6767,0.23,2.05,7.3268,0.1376,10.0000,0.0000,1.883,DESCEND_TO_LOW,1.0000,-0.1220,0.0288,0.5000
2152,static,static,2.6500,0.02,2.15,7.3537,0.1395,10.0000,0.0000,1.830,DESCEND_TO_LOW,1.0000,-0.1633,-0.0036,0.5000
2253,static,static,2.6077,-0.19,2.25,7.3959,0.1380,10.0000,0.0000,1.775,STABILIZE_LOW,1.0000,-0.1678,-0.0036,0.5000
2352,static,static,2.5515,-0.36,2.35,7.4519,0.1327,10.0000,0.0000,1.724,STABILIZE_LOW,1.0000,-0.2035,0.0084,0.0672
2452,static,static,2.4754,-0.50,2.45,7.5276,0.1224,10.0000,0.0000,1.699,STABILIZE_LOW,1.0000,-0.2057,-0.0006,0.0596
2552,static,static,2.3955,-0.57,2.55,7.6070,0.1093,10.0000,0.0000,1.688,STABILIZE_LOW,1.0000,-0.2015,-0.0480,0.0563
2652,static,static,2.3015,-0.57,2.65,7.7003,0.0919,10.0000,0.0000,1.677,STABILIZE_LOW,1.0000,-0.1842,0.0000,0.0532
2752,static,static,2.2099,-0.49,2.75,7.7913,0.0733,10.0000,0.0000,1.669,STABILIZE_LOW,0.8985,-0.1489,0.0186,0.0507
2852,static,static,2.1089,-0.33,2.85,7.8917,0.0508,10.0000,0.0000,1.660,TERMINAL_LAND,1.0000,-0.0596,-0.0390,0.0000
2952,static,static,2.0166,-0.17,2.95,7.9837,0.0293,10.0000,0.0000,1.656,TERMINAL_LAND,1.0000,-0.0383,-0.0036,0.0000
3052,static,static,1.9188,-0.02,3.05,8.0812,0.0062,10.0000,0.0000,1.656,TERMINAL_LAND,1.0000,-0.0150,0.0330,0.0000
3152,static,static,1.8300,0.07,3.15,8.1701,-0.0142,10.0000,0.0000,1.656,TERMINAL_LAND,1.0000,0.0059,0.0108,0.0000
3252,static,static,1.7345,0.11,3.25,8.2658,-0.0340,10.0000,0.0000,1.655,TERMINAL_LAND,1.0000,0.0267,0.0036,0.0000
3352,static,static,1.6470,0.08,3.35,8.3537,-0.0495,10.0000,0.0000,1.654,TERMINAL_LAND,1.0000,0.0447,0.0012,0.0000
3452,static,static,1.5529,-0.00,3.45,8.4484,-0.0629,10.0000,0.0000,1.653,TERMINAL_LAND,1.0000,0.0582,0.0228,0.0000
