run,repeat,mode,scenario,linear_error_m,rotation_error_deg,engagement_s,csv_file
1,1,STATIC,STATIC,0.0915,0.10,8.40,static_static_082504.csv
2,1,GIMBAL,STATIC,0.0395,0.03,10.71,gimbal_static_082604.csv
3,1,STATIC,DYNAMIC,7.2457,-16.24,12.41,static_dynamic_082704.csv
4,1,GIMBAL,DYNAMIC,0.8592,0.83,13.42,gimbal_dynamic_082809.csv
