time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state
100,gimbal,dynamic,none,1.4417,25.20,0.10,-0.0383,-0.0211,1.2934,-0.5733,4.696,SEARCH
200,gimbal,dynamic,none,1.4627,25.33,0.20,-0.0407,-0.0246,1.3206,-0.5597,4.701,SEARCH
300,gimbal,dynamic,none,1.4846,25.56,0.30,-0.0438,-0.0280,1.3473,-0.5463,4.707,SEARCH
400,gimbal,dynamic,none,1.5076,25.84,0.40,-0.0478,-0.0306,1.3735,-0.5332,4.711,SEARCH
500,gimbal,dynamic,none,1.5319,26.13,0.50,-0.0531,-0.0332,1.3992,-0.5204,4.716,SEARCH
600,gimbal,dynamic,none,1.5561,26.40,0.60,-0.0582,-0.0352,1.4244,-0.5078,4.721,SEARCH
700,gimbal,dynamic,none,1.5806,26.63,0.70,-0.0634,-0.0367,1.4492,-0.4954,4.726,SEARCH
800,gimbal,dynamic,none,1.6043,26.81,0.80,-0.0677,-0.0372,1.4734,-0.4833,4.730,SEARCH
900,gimbal,dynamic,none,1.6282,26.92,0.90,-0.0720,-0.0367,1.4971,-0.4714,4.734,SEARCH
1000,gimbal,dynamic,none,1.6518,26.97,1.00,-0.0759,-0.0349,1.5203,-0.4598,4.738,SEARCH
1100,gimbal,dynamic,none,1.6752,26.97,1.10,-0.0795,-0.0318,1.5430,-0.4485,4.742,SEARCH
1200,gimbal,dynamic,none,1.6975,26.93,1.20,-0.0821,-0.0277,1.5652,-0.4374,4.746,SEARCH
1300,gimbal,dynamic,none,1.7196,26.86,1.30,-0.0846,-0.0227,1.5869,-0.4265,4.750,SEARCH
1400,gimbal,dynamic,none,1.7411,26.77,1.40,-0.0869,-0.0181,1.6081,-0.4159,4.754,SEARCH
1500,gimbal,dynamic,none,1.7625,26.69,1.50,-0.0895,-0.0138,1.6289,-0.4055,4.758,SEARCH
1600,gimbal,dynamic,none,1.7827,26.61,1.60,-0.0917,-0.0112,1.6491,-0.3954,4.762,SEARCH
1700,gimbal,dynamic,none,1.8012,26.55,1.70,-0.0928,-0.0101,1.6689,-0.3856,4.766,SEARCH
1800,gimbal,dynamic,none,1.8179,26.51,1.80,-0.0927,-0.0108,1.6881,-0.3759,4.769,SEARCH
1900,gimbal,dynamic,none,1.8334,26.49,1.90,-0.0920,-0.0123,1.7069,-0.3665,4.773,STABILIZE_5M
2000,gimbal,dynamic,none,1.8481,26.47,2.00,-0.0907,-0.0139,1.7252,-0.3574,4.776,STABILIZE_5M
2100,gimbal,dynamic,none,1.8633,26.45,2.10,-0.0907,-0.0176,1.7430,-0.3485,4.781,STABILIZE_5M
2200,gimbal,dynamic,none,1.8840,26.32,2.20,-0.0972,-0.0248,1.7603,-0.3398,4.784,STABILIZE_5M
2300,gimbal,dynamic,none,1.9160,25.99,2.30,-0.1161,-0.0370,1.7772,-0.3314,4.786,STABILIZE_5M
2400,gimbal,dynamic,none,1.9591,25.42,2.40,-0.1466,-0.0513,1.7936,-0.3232,4.786,STABILIZE_5M
2500,gimbal,dynamic,none,2.0179,24.57,2.50,-0.1933,-0.0687,1.8095,-0.3152,4.785,STABILIZE_5M
2600,gimbal,dynamic,none,2.0850,23.61,2.60,-0.2482,-0.0852,1.8249,-0.3075,4.783,STABILIZE_5M
2700,gimbal,dynamic,none,2.1671,22.45,2.70,-0.3182,-0.1037,1.8399,-0.3000,4.782,STABILIZE_5M
2800,gimbal,dynamic,none,2.2583,21.32,2.80,-0.3974,-0.1221,1.8545,-0.2927,4.779,STABILIZE_5M
2900,gimbal,dynamic,none,2.3499,20.16,2.90,-0.4766,-0.1379,1.8686,-0.2857,4.779,STABILIZE_5M
3000,gimbal,dynamic,none,2.4488,19.18,3.00,-0.5634,-0.1537,1.8822,-0.2789,4.784,STABILIZE_5M
3100,gimbal,dynamic,none,2.5359,18.21,3.10,-0.6384,-0.1673,1.8954,-0.2723,4.794,STABILIZE_5M
3200,gimbal,dynamic,none,2.6136,17.40,3.20,-0.7041,-0.1812,1.9082,-0.2659,4.803,STABILIZE_5M
3300,gimbal,dynamic,none,2.6832,16.62,3.30,-0.7620,-0.1984,1.9205,-0.2597,4.813,STABILIZE_5M
3400,gimbal,dynamic,none,2.7355,15.94,3.40,-0.8029,-0.2174,1.9324,-0.2538,4.822,STABILIZE_5M
3500,gimbal,dynamic,none,2.7795,15.42,3.50,-0.8356,-0.2432,1.9439,-0.2480,4.830,STABILIZE_5M
