time_ms,scenario,drone_x,drone_y,drone_yaw_rad,rotation_error_deg,altitude_m,pixel_err_x,pixel_err_y,ground_err_m,forward_err_m,lateral_err_m,gimbal_norm,locked,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
24,static,2.5817,1.0341,6.2776,25.47,1.502,-0.2654,0.7296,0.7764,-0.2688,0.7284,0.000,1,DESCEND_TO_LOW,0.3658,0.0000,0.0000,0.0007
122,static,2.6303,1.0466,6.2752,25.47,1.503,-0.2654,0.7296,0.7764,-0.2708,0.7276,0.000,1,DESCEND_TO_LOW,-0.0759,0.3783,1.0188,0.3000
222,static,2.6762,1.0612,6.2760,25.47,1.490,-0.2654,0.7296,0.7764,-0.2714,0.7274,0.000,1,DESCEND_TO_LOW,-0.0765,0.3801,1.0188,0.3000
322,static,2.7205,1.0778,0.0005,25.47,1.465,-0.2654,0.7296,0.7764,-0.2668,0.7291,0.000,1,DESCEND_TO_LOW,-0.0752,0.3857,1.0188,0.3000
422,static,2.7558,1.0955,0.0165,25.47,1.438,-0.2654,0.7296,0.7764,-0.2569,0.7327,0.000,1,DESCEND_TO_LOW,-0.0710,0.3926,1.0188,0.3000
530,static,2.7843,1.1132,0.0341,25.47,1.411,-0.2654,0.7296,0.7764,-0.2412,0.7380,0.000,1,DESCEND_TO_LOW,-0.0638,0.4006,1.0188,0.3000
624,static,2.8222,1.1468,0.0636,0.00,1.384,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,-0.0601,0.4051,1.0188,0.3000
722,static,2.8458,1.1738,0.0879,0.00,1.354,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,-0.0586,0.3950,0.9935,-0.0090
822,static,2.8635,1.2043,0.1097,0.00,1.335,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,-0.0571,0.3849,0.9681,-0.0148
922,static,2.8766,1.2329,0.1337,0.00,1.324,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,-0.0556,0.3748,0.9426,-0.0179
1022,static,2.8879,1.2709,0.1642,0.00,1.321,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,-0.0541,0.3647,0.9172,-0.0188
1125,static,2.8953,1.3031,0.2012,0.00,1.320,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,-0.0526,0.3542,0.8909,-0.0193
1223,static,2.9009,1.3437,0.2410,13.95,1.320,-1.4741,-0.3839,1.5233,-1.5226,-0.0454,0.000,1,DESCEND_TO_LOW,-0.0518,0.3490,0.8779,-0.0195
1322,static,2.9043,1.3766,0.2802,13.95,1.320,-1.4741,-0.3839,1.5233,-1.5231,0.0238,0.000,1,DESCEND_TO_LOW,-0.7633,0.0155,0.5580,0.3000
1422,static,2.9032,1.4070,0.3157,13.95,1.312,-1.4741,-0.3839,1.5233,-1.5216,0.0725,0.000,1,DESCEND_TO_LOW,-0.7654,0.0422,0.5580,0.3000
1522,static,2.8979,1.4347,0.3460,13.95,1.287,-1.4741,-0.3839,1.5233,-1.5179,0.1279,0.000,1,STABILIZE_LOW,-0.7721,0.0733,0.5580,0.0861
1622,static,2.8850,1.4563,0.3724,13.95,1.262,-1.4741,-0.3839,1.5233,-1.5139,0.1693,0.000,1,STABILIZE_LOW,-0.7784,0.0973,0.5580,0.0787
1722,static,2.8640,1.4701,0.3958,13.95,1.251,-1.4741,-0.3839,1.5233,-1.5101,0.2003,0.000,1,STABILIZE_LOW,-0.7802,0.1153,0.5580,0.0752
1824,static,2.8446,1.4758,0.4145,13.95,1.240,-1.4741,-0.3839,1.5233,-1.5051,0.2350,0.000,1,STABILIZE_LOW,-0.7811,0.1354,0.5580,0.0720
1924,static,2.8051,1.4811,0.4453,3.34,1.228,-1.3999,-0.9771,1.7072,-1.6813,-0.2959,0.000,1,STABILIZE_LOW,-0.8860,-0.1782,0.1336,0.0685
2022,static,2.7625,1.4788,0.4665,3.34,1.218,-1.3999,-0.9771,1.7072,-1.6879,-0.2561,0.000,1,STABILIZE_LOW,-0.8939,-0.1564,0.1336,0.0653
2122,static,2.7199,1.4700,0.4803,3.34,1.203,-1.3999,-0.9771,1.7072,-1.6920,-0.2272,0.000,1,STABILIZE_LOW,-0.9021,-0.1408,0.1336,0.0608
2223,static,2.6735,1.4544,0.4841,3.34,1.190,-1.3999,-0.9771,1.7072,-1.6937,-0.2137,0.000,1,STABILIZE_LOW,-0.9080,-0.1338,0.1336,0.0571
2322,static,2.6241,1.4306,0.4817,3.34,1.182,-1.3999,-0.9771,1.7072,-1.6936,-0.2150,0.000,1,STABILIZE_LOW,-0.9114,-0.1350,0.1336,0.0545
2429,static,2.5768,1.4048,0.4760,3.34,1.170,-1.3999,-0.9771,1.7072,-1.6926,-0.2223,0.000,1,STABILIZE_LOW,-0.9152,-0.1400,0.1336,0.0511
2524,static,2.5145,1.3710,0.4681,0.00,1.157,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,-0.9176,-0.1446,0.1336,0.0489
2622,static,2.4607,1.3406,0.4611,0.00,1.145,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,-0.8946,-0.1410,0.1303,-0.0035
2722,static,2.3926,1.2999,0.4577,0.00,1.133,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,-0.8717,-0.1374,0.1269,-0.0070
2822,static,2.3272,1.2621,0.4610,0.00,1.126,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,-0.8487,-0.1338,0.1236,-0.0091
2922,static,2.2595,1.2237,0.4681,0.00,1.120,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,-0.8258,-0.1302,0.1202,-0.0110
3022,static,2.1905,1.1852,0.4776,0.00,1.112,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,-0.8030,-0.1266,0.1169,-0.0135
3134,static,2.1196,1.1439,0.4892,0.00,1.104,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,-0.7774,-0.1225,0.1132,-0.0158
3222,static,2.0484,1.1042,0.5022,0.00,1.099,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,-0.7570,-0.1193,0.1102,-0.0172
3322,static,1.9767,1.0618,0.5164,0.00,1.093,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,-0.7340,-0.1157,0.1069,-0.0192
3422,static,1.9125,1.0262,0.5307,0.00,1.088,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,-0.7111,-0.1121,0.1035,-0.0206
3523,static,1.8336,0.9796,0.5448,0.00,1.084,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,0.3000
3622,static,1.7719,0.9443,0.5565,0.00,1.077,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,0.3000
3722,static,1.7074,0.9051,0.5649,0.00,1.051,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,0.3000
3824,static,1.6439,0.8667,0.5693,0.00,1.023,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,0.3000
3922,static,1.5966,0.8356,0.5697,0.00,1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,0.3000
4022,static,1.5458,0.8048,0.5686,0.00,0.972,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,0.3000
4122,static,1.5030,0.7786,0.5683,0.00,0.945,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,0.3000
4222,static,1.4695,0.7604,0.5694,0.00,0.916,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,0.3000
4322,static,1.4318,0.7395,0.5701,0.00,0.884,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,0.3000
4425,static,1.4012,0.7251,0.5697,0.00,0.855,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,0.3000
4523,static,1.3742,0.7107,0.5671,0.00,0.818,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,0.3000
4622,static,1.3450,0.6987,0.5638,0.00,0.784,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,0.3000
4722,static,1.3200,0.6895,0.5606,0.00,0.750,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,0.3000
4822,static,1.3000,0.6842,0.5598,0.00,0.716,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,0.3000
4922,static,1.2807,0.6770,0.5616,0.00,0.682,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,0.3000
5035,static,1.2665,0.6734,0.5615,0.00,0.652,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,0.3000
5122,static,1.2522,0.6693,0.5578,0.00,0.613,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,0.3000
5222,static,1.2385,0.6668,0.5510,0.00,0.578,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,0.3000
5322,static,1.2283,0.6626,0.5397,0.00,0.542,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,0.3000
5424,static,1.2193,0.6610,0.5271,0.00,0.506,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,HOLD,0.0000,0.0000,0.0000,0.3000
5521,static,1.2115,0.6597,0.5176,0.00,0.469,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,DONE,0.0000,0.0000,0.0000,0.3000
