time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state
100,gimbal,static,none,5.3342,0.03,0.10,4.6658,-0.0027,10.0000,0.0000,4.765,DESCEND_TO_1M
200,gimbal,static,none,5.2416,0.04,0.20,4.7584,-0.0031,10.0000,0.0000,4.755,DESCEND_TO_1M
300,gimbal,static,none,5.1426,0.05,0.30,4.8574,-0.0032,10.0000,0.0000,4.719,DESCEND_TO_1M
400,gimbal,static,none,5.0558,0.04,0.40,4.9442,-0.0029,10.0000,0.0000,4.673,DESCEND_TO_1M
500,gimbal,static,none,4.9692,0.02,0.50,5.0308,-0.0017,10.0000,0.0000,4.627,DESCEND_TO_1M
600,gimbal,static,none,4.8966,0.01,0.60,5.1034,-0.0001,10.0000,0.0000,4.576,DESCEND_TO_1M
700,gimbal,static,none,4.8258,0.02,0.70,5.1742,0.0019,10.0000,0.0000,4.528,DESCEND_TO_1M
800,gimbal,static,none,4.7674,0.04,0.80,5.2326,0.0041,10.0000,0.0000,4.479,DESCEND_TO_1M
900,gimbal,static,none,4.7102,0.06,0.90,5.2898,0.0067,10.0000,0.0000,4.426,DESCEND_TO_1M
1000,gimbal,static,none,4.6620,0.07,1.00,5.3380,0.0093,10.0000,0.0000,4.372,DESCEND_TO_1M
1100,gimbal,static,none,4.6175,0.06,1.10,5.3825,0.0122,10.0000,0.0000,4.322,DESCEND_TO_1M
1200,gimbal,static,none,4.5736,0.02,1.20,5.4265,0.0157,10.0000,0.0000,4.268,DESCEND_TO_1M
1300,gimbal,static,none,4.5329,0.03,1.30,5.4671,0.0195,10.0000,0.0000,4.217,DESCEND_TO_1M
1400,gimbal,static,none,4.4977,0.09,1.40,5.5023,0.0235,10.0000,0.0000,4.166,DESCEND_TO_1M
1500,gimbal,static,none,4.4611,0.15,1.50,5.5390,0.0278,10.0000,0.0000,4.111,DESCEND_TO_1M
