time_ms,mode,scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
85,static,dynamic,0.9656,-14.02,0.09,-0.1087,-0.0237,0.8253,0.2210,2.761,SEARCH,0.0000,0.0000,0.0000,-0.0718
185,static,dynamic,1.0038,-14.00,0.19,-0.1114,-0.0242,0.8643,0.2113,2.764,SEARCH,0.0000,0.0000,0.0000,-0.0709
285,static,dynamic,1.0419,-13.98,0.29,-0.1136,-0.0245,0.9034,0.2015,2.766,SEARCH,0.0000,0.0000,0.0000,-0.0701
385,static,dynamic,1.0805,-13.97,0.39,-0.1161,-0.0241,0.9426,0.1917,2.769,SEARCH,0.0000,0.0000,0.0000,-0.0693
485,static,dynamic,1.1200,-13.96,0.49,-0.1192,-0.0233,0.9818,0.1819,2.772,SEARCH,0.0000,0.0000,0.0000,-0.0685
585,static,dynamic,1.1595,-13.95,0.59,-0.1219,-0.0227,1.0211,0.1721,2.774,SEARCH,0.0000,0.0000,0.0000,-0.0678
685,static,dynamic,1.1992,-13.94,0.69,-0.1244,-0.0224,1.0605,0.1622,2.776,SEARCH,0.0000,0.0000,0.0000,-0.0671
785,static,dynamic,1.2393,-13.94,0.79,-0.1270,-0.0221,1.1000,0.1524,2.779,SEARCH,0.0000,0.0000,0.0000,-0.0663
885,static,dynamic,1.2796,-13.93,0.89,-0.1295,-0.0221,1.1395,0.1425,2.781,SEARCH,0.0000,0.0000,0.0000,-0.0656
985,static,dynamic,1.3202,-13.94,0.99,-0.1320,-0.0224,1.1790,0.1326,2.784,SEARCH,0.0000,0.0000,0.0000,-0.0649
1085,static,dynamic,1.3606,-13.94,1.09,-0.1342,-0.0228,1.2187,0.1227,2.786,SEARCH,0.0000,0.0000,0.0000,-0.0642
1185,static,dynamic,1.4004,-13.95,1.19,-0.1354,-0.0231,1.2584,0.1128,2.789,SEARCH,0.0000,0.0000,0.0000,-0.0634
1285,static,dynamic,1.4400,-13.95,1.29,-0.1363,-0.0242,1.2981,0.1028,2.791,SEARCH,0.0000,0.0000,0.0000,-0.0627
1385,static,dynamic,1.4792,-13.96,1.39,-0.1366,-0.0259,1.3379,0.0929,2.793,SEARCH,0.0000,0.0000,0.0000,-0.0620
1485,static,dynamic,1.5180,-13.96,1.49,-0.1362,-0.0287,1.3777,0.0829,2.796,SEARCH,0.0000,0.0000,0.0000,-0.0613
1585,static,dynamic,1.5566,-13.96,1.59,-0.1356,-0.0316,1.4175,0.0730,2.798,SEARCH,0.0000,0.0000,0.0000,-0.0606
1685,static,dynamic,1.5954,-13.97,1.69,-0.1349,-0.0354,1.4574,0.0630,2.800,SEARCH,0.0000,0.0000,0.0000,-0.0600
1785,static,dynamic,1.6344,-13.97,1.79,-0.1344,-0.0399,1.4973,0.0530,2.802,SEARCH,0.0000,0.0000,0.0000,-0.0594
1885,static,dynamic,1.6730,-13.98,1.89,-0.1334,-0.0454,1.5373,0.0430,2.804,SEARCH,0.0000,0.0000,0.0000,-0.0588
1985,static,dynamic,1.7115,-13.98,1.99,-0.1322,-0.0506,1.5772,0.0330,2.806,SEARCH,0.0000,0.0000,0.0000,-0.0582
2085,static,dynamic,1.7493,-13.99,2.09,-0.1303,-0.0554,1.6172,0.0231,2.808,SEARCH,0.0000,0.0000,0.0000,-0.0576
2185,static,dynamic,1.7871,-13.99,2.19,-0.1285,-0.0590,1.6572,0.0131,2.810,SEARCH,0.0000,0.0000,0.0000,-0.0570
2285,static,dynamic,1.8249,-14.00,2.29,-0.1265,-0.0622,1.6972,0.0031,2.812,SEARCH,0.0000,0.0000,0.0000,-0.0564
