time_ms,mode,scenario,wind_scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state
100,static,static,none,5.1068,0.03,0.10,4.8933,0.0205,10.0000,0.0000,4.755,DESCEND_TO_1M
200,static,static,none,5.0134,0.02,0.20,4.9867,0.0243,10.0000,0.0000,4.730,DESCEND_TO_1M
300,static,static,none,4.9123,0.01,0.30,5.0878,0.0282,10.0000,0.0000,4.694,DESCEND_TO_1M
400,static,static,none,4.8212,0.00,0.40,5.1789,0.0312,10.0000,0.0000,4.648,DESCEND_TO_1M
500,static,static,none,4.7300,0.00,0.50,5.2701,0.0341,10.0000,0.0000,4.604,DESCEND_TO_1M
600,static,static,none,4.6563,0.02,0.60,5.3439,0.0363,10.0000,0.0000,4.555,DESCEND_TO_1M
700,static,static,none,4.5906,0.09,0.70,5.4095,0.0380,10.0000,0.0000,4.510,DESCEND_TO_1M
800,static,static,none,4.5434,0.19,0.80,5.4568,0.0393,10.0000,0.0000,4.459,DESCEND_TO_1M
900,static,static,none,4.5075,0.32,0.90,5.4926,0.0401,10.0000,0.0000,4.411,DESCEND_TO_1M
1000,static,static,none,4.4796,0.44,1.00,5.5206,0.0413,10.0000,0.0000,4.357,DESCEND_TO_1M
1100,static,static,none,4.4607,0.50,1.10,5.5395,0.0437,10.0000,0.0000,4.307,DESCEND_TO_1M
1200,static,static,none,4.4495,0.48,1.20,5.5507,0.0473,10.0000,0.0000,4.251,DESCEND_TO_1M
1300,static,static,none,4.4424,0.41,1.30,5.5579,0.0519,10.0000,0.0000,4.199,DESCEND_TO_1M
1400,static,static,none,4.4391,0.30,1.40,5.5613,0.0563,10.0000,0.0000,4.142,DESCEND_TO_1M
1500,static,static,none,4.4380,0.18,1.50,5.5624,0.0608,10.0000,0.0000,4.090,DESCEND_TO_1M
1600,static,static,none,4.4384,0.06,1.60,5.5621,0.0655,10.0000,0.0000,4.033,DESCEND_TO_1M
1700,static,static,none,4.4393,0.05,1.70,5.5613,0.0702,10.0000,0.0000,3.981,DESCEND_TO_1M
1800,static,static,none,4.4396,0.15,1.80,5.5610,0.0747,10.0000,0.0000,3.924,DESCEND_TO_1M
1900,static,static,none,4.4384,0.24,1.90,5.5623,0.0800,10.0000,0.0000,3.872,DESCEND_TO_1M
2000,static,static,none,4.4345,0.33,2.00,5.5664,0.0856,10.0000,0.0000,3.819,DESCEND_TO_1M
2100,static,static,none,4.4266,0.40,2.10,5.5744,0.0926,10.0000,0.0000,3.763,DESCEND_TO_1M
2200,static,static,none,4.4156,0.46,2.20,5.5855,0.0991,10.0000,0.0000,3.710,DESCEND_TO_1M
2300,static,static,none,4.3988,0.49,2.30,5.6025,0.1063,10.0000,0.0000,3.654,DESCEND_TO_1M
2400,static,static,none,4.3790,0.49,2.40,5.6224,0.1124,10.0000,0.0000,3.597,DESCEND_TO_1M
2500,static,static,none,4.3539,0.47,2.50,5.6477,0.1186,10.0000,0.0000,3.545,DESCEND_TO_1M
2600,static,static,none,4.3274,0.42,2.60,5.6744,0.1235,10.0000,0.0000,3.488,DESCEND_TO_1M
2700,static,static,none,4.2953,0.37,2.70,5.7066,0.1275,10.0000,0.0000,3.435,DESCEND_TO_1M
2800,static,static,none,4.2628,0.31,2.80,5.7391,0.1296,10.0000,0.0000,3.378,DESCEND_TO_1M
2900,static,static,none,4.2285,0.25,2.90,5.7736,0.1305,10.0000,0.0000,3.325,DESCEND_TO_1M
3000,static,static,none,4.1894,0.19,3.00,5.8126,0.1299,10.0000,0.0000,3.273,DESCEND_TO_1M
3100,static,static,none,4.1480,0.15,3.10,5.8539,0.1279,10.0000,0.0000,3.216,DESCEND_TO_1M
3200,static,static,none,4.1079,0.12,3.20,5.8940,0.1248,10.0000,0.0000,3.159,DESCEND_TO_1M
3300,static,static,none,4.0629,0.11,3.30,5.9389,0.1208,10.0000,0.0000,3.107,DESCEND_TO_1M
3400,static,static,none,4.0208,0.10,3.40,5.9809,0.1163,10.0000,0.0000,3.051,DESCEND_TO_1M
3500,static,static,none,3.9784,0.10,3.50,6.0232,0.1113,10.0000,0.0000,2.999,DESCEND_TO_1M
3600,static,static,none,3.9326,0.10,3.60,6.0688,0.1059,10.0000,0.0000,2.947,DESCEND_TO_1M
3700,static,static,none,3.8891,0.10,3.70,6.1122,0.1007,10.0000,0.0000,2.891,DESCEND_TO_1M
3800,static,static,none,3.8375,0.10,3.80,6.1636,0.0943,10.0000,0.0000,2.833,DESCEND_TO_1M
3900,static,static,none,3.7799,0.11,3.90,6.2211,0.0871,10.0000,0.0000,2.778,DESCEND_TO_1M
