time_ms,mode,scenario,linear_error_m,rotation_error_deg,engagement_duration_s,drone_x,drone_y,target_x,target_y,altitude_m,state,last_cmd_pitch,last_cmd_roll,last_cmd_yaw_vel,last_cmd_thrust
89,gimbal,static,4.5518,0.02,0.09,5.4484,0.0431,10.0000,0.0000,2.800,SEARCH,2.2835,-0.0214,0.0000,-0.0601
189,gimbal,static,4.4514,0.01,0.19,5.5488,0.0441,10.0000,0.0000,2.802,SEARCH,2.2372,-0.0220,0.0000,-0.0594
289,gimbal,static,4.3588,0.00,0.29,5.6415,0.0437,10.0000,0.0000,2.804,SEARCH,2.1870,-0.0219,0.0000,-0.0587
389,gimbal,static,4.2656,0.02,0.39,5.7346,0.0422,10.0000,0.0000,2.806,SEARCH,2.1405,-0.0212,0.0000,-0.0581
489,gimbal,static,4.1633,0.03,0.49,5.8369,0.0404,10.0000,0.0000,2.809,SEARCH,2.0934,-0.0204,0.0000,-0.0574
589,gimbal,static,4.0678,0.04,0.59,5.9323,0.0392,10.0000,0.0000,2.810,SEARCH,2.0418,-0.0197,0.0000,-0.0569
689,gimbal,static,3.9641,0.04,0.69,6.0361,0.0381,10.0000,0.0000,2.813,SEARCH,1.9900,-0.0191,0.0000,-0.0562
789,gimbal,static,3.8679,0.03,0.79,6.1323,0.0368,10.0000,0.0000,2.814,DESCEND_TO_LOW,0.9259,-0.0281,0.0582,0.5000
889,gimbal,static,3.7632,0.03,0.89,6.2370,0.0353,10.0000,0.0000,2.805,DESCEND_TO_LOW,0.8462,-0.0323,-0.0204,0.5000
989,gimbal,static,3.6668,0.02,0.99,6.3334,0.0346,10.0000,0.0000,2.767,DESCEND_TO_LOW,0.7722,-0.0272,0.0192,0.5000
1089,gimbal,static,3.5631,0.02,1.09,6.4371,0.0347,10.0000,0.0000,2.715,DESCEND_TO_LOW,0.7021,-0.0320,-0.0210,0.5000
1189,gimbal,static,3.4693,0.01,1.19,6.5309,0.0357,10.0000,0.0000,2.665,DESCEND_TO_LOW,0.6329,-0.0322,0.0138,0.5000
