run,repeat,mode,scenario,linear_error_m,rotation_error_deg,engagement_s,csv_file
1,1,STATIC,STATIC,0.0971,-0.10,7.86,static_static_122744.csv
2,2,STATIC,STATIC,0.0846,0.17,8.69,static_static_122842.csv
3,3,STATIC,STATIC,0.0982,0.14,7.59,static_static_122940.csv
4,4,STATIC,STATIC,0.0998,-0.00,7.51,static_static_123038.csv
5,5,STATIC,STATIC,0.1068,0.20,7.75,static_static_123138.csv
6,1,GIMBAL,STATIC,0.0296,0.06,10.88,gimbal_static_123238.csv
7,2,GIMBAL,STATIC,0.0220,0.12,10.19,gimbal_static_123336.csv
8,3,GIMBAL,STATIC,0.0235,0.12,10.26,gimbal_static_123434.csv
9,4,GIMBAL,STATIC,0.0198,0.09,10.62,gimbal_static_123533.csv
10,5,GIMBAL,STATIC,0.0156,-0.06,11.08,gimbal_static_123631.csv
11,1,STATIC,DYNAMIC,8.6472,-19.51,14.29,static_dynamic_123733.csv
12,2,STATIC,DYNAMIC,0.9221,-28.06,19.07,static_dynamic_123841.csv
13,3,STATIC,DYNAMIC,0.7822,-0.81,16.49,static_dynamic_123945.csv
14,4,STATIC,DYNAMIC,0.7329,-20.22,16.17,static_dynamic_124048.csv
15,5,STATIC,DYNAMIC,6.4589,-40.18,11.13,static_dynamic_124146.csv
16,1,GIMBAL,DYNAMIC,0.1334,18.92,23.89,gimbal_dynamic_124258.csv
17,2,GIMBAL,DYNAMIC,0.1878,1.19,18.72,gimbal_dynamic_124404.csv
18,3,GIMBAL,DYNAMIC,0.1721,4.01,13.31,gimbal_dynamic_124503.csv
19,4,GIMBAL,DYNAMIC,0.1656,6.48,12.84,gimbal_dynamic_124601.csv
